block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,10.644444,19160,13.700098,6.850049,54.800392,6.850049,0.000000,13.700098,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.600000,28080,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,15.602777,28085,
1,cube0,10.672778,19211,13.700098,6.850049,54.800392,6.850049,0.000000,13.700098,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.880555,19585,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,10.892777,19607,
2,cube0,10.538889,18970,13.700098,6.850049,54.800392,6.850049,0.000000,13.700098,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.721666,19299,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,10.785000,19413,
3,cube0,10.548333,18987,13.700098,6.850049,54.800392,6.850049,0.000000,13.700098,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.697222,19255,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,10.767777,19382,
4,cube0,10.552778,18995,13.700098,6.850049,54.800392,6.850049,0.000000,13.700098,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.449445,27809,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,15.347222,27625,
5,cube0,10.508333,18915,13.700098,6.850049,54.800392,6.850049,0.000000,13.700098,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.677222,19219,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,10.745556,19342,
6,cube0,10.526667,18948,13.700098,6.850049,54.800392,6.850049,0.000000,13.700098,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.762777,19373,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,10.785556,19414,
7,cube0,10.497222,18895,13.700098,6.850049,54.800392,6.850049,0.000000,13.700098,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.665556,19198,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,10.697222,19255,
