block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
0,cube0,10.644444,19160,1.209444,0.071144,0.926667,0.054510,1.873333,0.110196,0.001111,0.000065,1716.613770,1.797778,0.105752,135.801346,0.000000,4.720000,0.277647,0.084444,0.300000,2.072778,0.000000,0.000000,0.000000,0.125556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378889,2.790555,0.996667,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.600000,28080,6.015000,0.353824,0.880556,0.051797,86.778343,0.425556,0.025033,89.640411,0.000000,5.746111,0.338007,1.001667,2.302222,0.000000,0.000000,0.000000,0.000000,0.105556,0.741111,NA,NA,NA,1.328333,0.913889,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.602777,28085,4.187222,0.246307,0.705556,0.041503,86.506523,0.452222,0.026601,84.354485,0.000000,6.008333,0.353431,0.947778,1.990000,0.000000,0.000000,0.000000,0.000000,0.118889,0.230556,NA,NA,NA,1.032222,3.000556,
1,cube0,10.672778,19211,1.209444,0.071144,0.926667,0.054510,1.702778,0.100163,0.001111,0.000065,1716.613770,1.848889,0.108758,132.047211,0.000000,5.174445,0.304379,0.077222,0.291667,2.045000,0.000000,0.000000,0.000000,0.097222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572222,2.698333,1.090556,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.880555,19585,2.167222,0.127484,0.186111,0.010948,82.628052,0.478889,0.028170,79.657249,0.000000,6.532778,0.384281,0.983889,2.251667,0.000000,0.000000,0.000000,0.000000,0.097778,0.738889,NA,NA,NA,1.538333,1.041111,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.892777,19607,0.339444,0.019967,0.001111,0.000065,0.000000,0.454444,0.026732,83.941994,0.000000,6.446667,0.379216,0.930556,1.938889,0.000000,0.000000,0.000000,0.000000,0.115000,0.230556,NA,NA,NA,1.316111,3.138333,
2,cube0,10.538889,18970,1.209444,0.071144,0.926667,0.054510,1.917778,0.112810,0.001111,0.000065,1716.613770,1.851667,0.108922,131.849121,0.000000,4.001667,0.235392,0.077222,0.291667,2.186667,0.000000,0.000000,0.000000,0.120000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481111,2.711111,1.666667,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.721666,19299,2.165000,0.127353,0.193889,0.011405,79.313454,0.427222,0.025131,89.290710,0.000000,7.030556,0.413562,0.983889,2.251667,0.000000,0.000000,0.000000,0.000000,0.101667,0.736667,NA,NA,NA,2.577222,1.003333,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.785000,19413,0.339444,0.019967,0.001111,0.000065,0.000000,0.464444,0.027320,82.134628,0.000000,4.803333,0.282549,0.930556,1.938889,0.000000,0.000000,0.000000,0.000000,0.119444,0.231111,NA,NA,NA,1.073333,3.093889,
3,cube0,10.548333,18987,1.209444,0.071144,0.926667,0.054510,1.861667,0.109510,0.001111,0.000065,1716.613770,1.826111,0.107418,133.694290,0.000000,4.825000,0.283824,0.077222,0.291667,1.924444,0.000000,0.000000,0.000000,0.098333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.657778,2.769444,1.037778,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.697222,19255,2.167222,0.127484,0.185000,0.010882,83.124321,0.472222,0.027778,80.781830,0.000000,5.624444,0.330850,0.985556,2.251667,0.000000,0.000000,0.000000,0.000000,0.103889,0.739444,NA,NA,NA,1.137222,1.226667,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.767777,19382,0.339444,0.019967,0.001111,0.000065,0.000000,0.937222,0.055131,40.702160,0.000000,4.879445,0.287026,0.932222,1.938889,0.000000,0.000000,0.000000,0.000000,0.128333,0.231111,NA,NA,NA,1.339444,3.303889,
4,cube0,10.552778,18995,1.209444,0.071144,0.926667,0.054510,1.751667,0.103039,0.001111,0.000065,1716.613770,1.832778,0.107810,133.207993,0.000000,5.321667,0.313039,0.085556,0.306667,2.047778,0.000000,0.000000,0.000000,0.128889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339444,2.728333,0.000000,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.449445,27809,6.015000,0.353824,0.903889,0.053170,84.538216,0.441667,0.025980,86.370506,0.000000,5.715000,0.336176,1.004444,2.307778,0.000000,0.000000,0.000000,0.000000,0.108333,0.728889,NA,NA,NA,2.230556,0.865556,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.347222,27625,4.187222,0.246307,0.631111,0.037124,96.710640,0.420000,0.024706,90.826134,0.000000,4.963889,0.291993,0.951111,1.995000,0.000000,0.000000,0.000000,0.000000,0.134444,0.230556,NA,NA,NA,2.082778,2.946667,
5,cube0,10.508333,18915,1.209444,0.071144,0.926667,0.054510,1.893333,0.111373,0.001111,0.000065,1716.613770,1.877778,0.110458,130.015717,0.000000,5.321111,0.313007,0.076111,0.292222,2.112222,0.000000,0.000000,0.000000,0.137778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.258889,2.800000,0.000000,NA,NA,
