block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,41.716110,75089,0.268260,0.190398,0.048711,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,50.098888,90178,0.076960,0.045954,0.008994,0.022013,0.000000,0.141887,0.272044,0.029371,
0,vector1,NA,NA,NA,NA,NA,NA,50.177776,90320,0.076960,0.045954,0.008994,0.022013,0.000000,0.140797,0.265860,0.029371,
1,cube0,41.646111,74963,0.219298,0.135398,0.048658,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,43.923332,79062,0.045252,0.027558,0.004486,0.013208,0.000000,0.079172,0.118008,0.046551,
1,vector1,NA,NA,NA,NA,NA,NA,43.812222,78862,0.015524,0.009193,0.001929,0.004403,0.000000,0.039811,0.062841,0.024214,
2,cube0,41.976112,75557,0.249350,0.165860,0.048658,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,50.347778,90626,0.062096,0.036771,0.007715,0.017610,0.000000,0.118627,0.193836,0.051530,
2,vector1,NA,NA,NA,NA,NA,NA,50.281666,90507,0.047233,0.027589,0.006436,0.013208,0.000000,0.098994,0.164843,0.029371,
3,cube0,41.485554,74674,0.245744,0.165273,0.048658,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,43.593334,78468,0.060115,0.036740,0.005765,0.017610,0.000000,0.105147,0.199046,0.046488,
3,vector1,NA,NA,NA,NA,NA,NA,43.687222,78637,0.045252,0.027558,0.004486,0.013208,0.000000,0.085115,0.169119,0.024214,
4,cube0,41.666668,75000,0.234214,0.152212,0.048658,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,50.086666,90156,0.047233,0.027589,0.006436,0.013208,0.000000,0.106908,0.124245,0.051478,
4,vector1,NA,NA,NA,NA,NA,NA,49.959446,89927,0.017505,0.009224,0.003878,0.004403,0.000000,0.051981,0.055409,0.029245,
5,cube0,41.796112,75233,0.249706,0.173050,0.048711,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,43.904999,79029,0.074979,0.045922,0.007044,0.022013,0.000000,0.119235,0.267683,0.024224,
5,vector1,NA,NA,NA,NA,NA,NA,43.951111,79112,0.074979,0.045922,0.007044,0.022013,0.000000,0.127065,0.273732,0.024224,
6,cube0,41.807220,75253,0.233113,0.152736,0.048711,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,50.126110,90227,0.039801,0.022998,0.005797,0.011006,0.000000,0.094182,0.088616,0.029224,
6,vector1,NA,NA,NA,NA,NA,NA,50.184444,90332,0.002642,0.000042,0.002600,0.000000,0.000000,0.028931,0.001771,0.006887,
7,cube0,41.677223,75019,0.261981,0.185430,0.048658,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,43.737221,78727,0.067547,0.041331,0.006405,0.019811,0.000000,0.108124,0.229727,0.046468,
7,vector1,NA,NA,NA,NA,NA,NA,43.792778,78827,0.060115,0.036740,0.005765,0.017610,0.000000,0.115744,0.230293,0.024308,
8,cube0,41.865555,75358,0.226782,0.143008,0.048658,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,50.138332,90249,0.054665,0.032180,0.007075,0.015409,0.000000,0.129182,0.167023,0.051614,
8,vector1,NA,NA,NA,NA,NA,NA,50.188889,90340,0.032369,0.018407,0.005157,0.008805,0.000000,0.085398,0.115105,0.029277,
9,cube0,41.683334,75030,0.239224,0.150608,0.048658,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,43.755554,78760,0.052683,0.032149,0.005126,0.015409,0.000000,0.097317,0.157170,0.046468,
9,vector1,NA,NA,NA,NA,NA,NA,43.811668,78861,0.030388,0.018375,0.003208,0.008805,0.000000,0.054696,0.108679,0.024235,
10,cube0,41.868332,75363,0.238229,0.157537,0.048658,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
