block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,41.215000,74187,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,49.618889,89314,75.202423,73.592613,0.001405,0.169750,
0,vector1,NA,NA,49.752224,89554,75.202423,73.592613,0.001405,0.169750,
1,cube0,41.142776,74057,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,43.378334,78081,40.519558,39.116592,0.001405,0.160756,
1,vector1,NA,NA,43.442780,78197,15.751860,16.705154,0.001405,0.151763,
2,cube0,41.319443,74375,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,49.718334,89493,62.818577,62.962471,0.001405,0.165253,
2,vector1,NA,NA,49.761665,89571,50.434727,51.756748,0.001405,0.160756,
3,cube0,40.974998,73755,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,43.252224,77854,52.903404,50.322311,0.001405,0.165253,
3,vector1,NA,NA,43.216667,77790,40.519558,39.116592,0.001405,0.160756,
4,cube0,41.169445,74105,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,49.494999,89091,50.434727,51.756748,0.001405,0.160756,
4,vector1,NA,NA,49.552223,89194,25.667032,29.345314,0.001405,0.151763,
5,cube0,41.202778,74165,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,43.317223,77971,65.287254,60.952457,0.001405,0.169750,
5,vector1,NA,NA,43.382778,78089,65.287254,60.952457,0.001405,0.169750,
6,cube0,41.309444,74357,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,49.549999,89190,44.242802,45.578320,0.001405,0.158508,
6,vector1,NA,NA,49.617222,89311,13.283183,17.564020,0.001405,0.147266,
7,cube0,41.241665,74235,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,43.364445,78056,59.095325,55.925171,0.001405,0.167501,
7,vector1,NA,NA,43.430557,78175,52.903404,50.322311,0.001405,0.165253,
8,cube0,41.386112,74495,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,49.630554,89335,56.626656,57.359608,0.001405,0.163005,
8,vector1,NA,NA,49.722778,89501,38.050880,40.551033,0.001405,0.156260,
9,cube0,41.171665,74109,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,43.257778,77864,46.711479,44.719452,0.001405,0.163005,
9,vector1,NA,NA,43.242779,77837,28.135708,27.910873,0.001405,0.156260,
10,cube0,41.463890,74635,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,49.816666,89670,69.010498,68.565331,0.001405,0.167501,
10,vector1,NA,NA,49.828888,89692,62.818577,62.962471,0.001405,0.165253,
11,cube0,41.042778,73877,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,43.072777,77531,34.327629,32.938160,0.001405,0.158508,
11,vector1,NA,NA,43.103889,77587,3.368011,4.923862,0.001405,0.147266,
12,cube0,41.258335,74265,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,49.544445,89180,75.202423,73.592613,0.001405,0.169750,
12,vector1,NA,NA,49.573334,89232,75.202423,73.592613,0.001405,0.169750,
13,cube0,41.081112,73946,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,43.102779,77585,40.519558,39.116592,0.001405,0.160756,
13,vector1,NA,NA,43.133888,77641,15.751860,16.705154,0.001405,0.151763,
14,cube0,41.327778,74390,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,49.600555,89281,62.818577,62.962471,0.001405,0.165253,
14,vector1,NA,NA,49.679443,89423,50.434727,51.756748,0.001405,0.160756,
15,cube0,40.796665,73434,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,42.922222,77260,52.903404,50.322311,0.001405,0.165253,
15,vector1,NA,NA,42.821110,77078,40.519558,39.116592,0.001405,0.160756,
16,cube0,40.680557,73225,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,40.621666,73119,37.214497,34.903206,0.001405,0.160756,
16,vector1,NA,NA,40.631668,73137,12.446801,12.491768,0.001405,0.151763,
17,cube0,40.836113,73505,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,40.780556,73405,61.982197,56.739071,0.001405,0.169750,
17,vector1,NA,NA,40.811668,73461,61.982197,56.739071,0.001405,0.169750,
18,cube0,40.626110,73127,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,40.589443,73061,31.022573,28.724771,0.001405,0.158508,
18,vector1,NA,NA,40.584446,73052,0.062953,0.710475,0.001405,0.147266,
19,cube0,40.637222,73147,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,40.568890,73024,6.254878,6.313334,0.000281,0.148390,
19,vector1,NA,NA,40.596668,73074,0.062953,0.710475,0.000281,0.146142,
