block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,42.413887,76345,1537,1024,644,2024,638,2014,60.015617,24.097744,35.769573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.834999,91503,1,128,2446,0,2453,2,0.775194,99.959190,97.415504,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.837223,91507,65,64,2459,1,2441,0,50.387596,99.979599,98.707756,
1,cube0,42.346111,76223,1537,1024,2120,642,2111,639,60.015617,76.759796,71.448036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.592224,80266,1,144,1292,0,1292,1,0.689655,99.961319,94.688644,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.593334,80268,17,128,525,1,511,0,11.724138,99.903564,89.086296,
2,cube0,42.499443,76499,1537,1024,1194,1562,1197,1559,60.015617,43.378082,48.656013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.013332,91824,1,192,2055,1,2071,0,0.518135,99.975769,95.532410,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.035557,91864,65,128,1686,1,1666,0,33.678757,99.970177,96.362099,
3,cube0,42.180557,75925,1537,1024,1115,1636,1132,1629,60.015617,40.765602,46.872292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.371666,79869,1,144,1658,1,1700,0,0.689655,99.970230,95.861870,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.417778,79952,17,128,1312,1,1272,0,11.724138,99.961319,95.274727,
4,cube0,42.372776,76271,1537,1024,2134,609,2161,608,60.015617,77.920898,72.240799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.723331,91302,1,192,1687,1,1665,0,0.518135,99.970177,94.557251,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.783890,91411,65,128,898,1,906,0,33.678757,99.944595,93.543541,
5,cube0,42.473888,76453,1537,1024,1092,1557,1107,1564,60.015617,41.334587,47.405151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.625000,80325,1,80,2052,0,2080,1,1.234568,99.975807,98.077835,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.627224,80329,17,64,2072,2,2059,0,20.987654,99.951607,98.433792,
6,cube0,42.691113,76844,1537,1024,1542,1121,1537,1120,60.015617,57.875938,58.571247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.057777,91904,1,128,1481,1,1484,0,0.775194,99.966286,95.831985,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.082222,91948,65,64,513,1,517,0,50.387596,99.903008,94.396553,
7,cube0,42.377224,76279,1537,1024,707,2044,708,2053,60.015617,25.671263,36.566334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.518333,80133,1,144,1869,0,1876,1,0.689655,99.973305,96.273453,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.531113,80156,17,128,1686,1,1672,0,11.724138,99.970230,96.318497,
8,cube0,42.538887,76570,1537,1024,1701,1048,1714,1049,60.015617,61.955734,61.340271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.816113,91469,1,192,1845,1,1894,0,0.518135,99.973259,95.092804,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.879444,91583,65,128,1311,1,1267,0,33.678757,99.961227,95.346321,
9,cube0,42.296112,76133,1537,1024,1631,1122,1640,1119,60.015617,59.343250,59.556545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.332779,79799,1,144,1507,1,1464,0,0.689655,99.966354,95.348091,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.382221,79888,17,128,884,1,926,0,11.724138,99.944778,93.404907,
10,cube0,42.532776,76559,1537,1024,1809,947,1802,954,60.015617,65.511612,63.768116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.884445,91592,1,192,2271,1,2242,0,0.518135,99.977844,95.899727,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.926109,91667,65,128,2052,1,2074,0,33.678757,99.975769,97.013885,
11,cube0,42.282223,76108,1537,1024,999,1653,1003,1665,60.015617,37.631580,44.905468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.366665,79860,1,80,1106,0,1090,2,1.234568,99.909012,96.401932,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.393890,79909,17,64,123,1,139,0,20.987654,99.619774,81.104652,
12,cube0,42.474445,76454,1537,1024,523,2144,508,2145,60.015617,19.379700,32.584698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.983891,91771,1,128,2452,0,2448,1,0.775194,99.979599,97.435387,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.995556,91792,65,64,2450,0,2450,1,50.387596,99.979599,98.707756,
13,cube0,42.251110,76052,1537,1024,2245,513,2242,512,60.015617,81.404205,74.619102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.337776,79808,1,144,1281,0,1303,1,0.689655,99.961319,94.688644,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.348331,79827,17,128,522,0,514,1,11.724138,99.903564,89.086296,
14,cube0,42.632778,76739,1537,1024,1198,1555,1193,1566,60.015617,43.378082,48.656013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.153889,92077,1,192,2068,1,2058,0,0.518135,99.975769,95.532410,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.174446,92114,65,128,1665,0,1687,1,33.678757,99.970177,96.362099,
15,cube0,42.001110,75602,1537,1024,1380,1378,1379,1375,60.015617,50.054428,53.214420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.081112,79346,1,144,1683,1,1675,0,0.689655,99.970230,95.861870,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.115555,79408,17,128,1288,0,1296,1,11.724138,99.961319,95.274727,
16,cube0,41.887222,75397,1537,1024,1963,792,1964,793,60.015617,71.244560,67.682396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.852222,75334,1,128,1161,1,1166,1,0.775194,99.914124,94.711143,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.801666,75243,1,128,398,0,382,1,0.775194,99.871956,85.824173,
17,cube0,41.991665,75585,1537,1024,1030,1626,1033,1631,60.015617,38.778194,45.679482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.977222,75559,1,64,1950,0,1926,1,1.538462,99.974205,98.351089,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.928333,75471,1,64,1940,0,1936,1,1.538462,99.974205,98.351089,
18,cube0,41.831112,75296,1537,1024,1535,1054,1536,1051,60.015617,59.331532,59.557968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.820557,75277,1,64,979,1,962,0,1.538462,99.948509,96.761337,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.765556,75178,1,64,4,1,1,0,1.538462,83.333336,8.450705,
19,cube0,41.838890,75310,1,512,27,512,28,513,0.194932,5.092593,3.515380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.832222,75298,1,64,193,0,200,1,1.538462,99.746193,85.838783,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.781666,75207,1,64,4,0,1,1,1.538462,83.333336,8.450705,
