block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,42.089443,75761,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,50.542221,90976,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,50.533333,90960,
1,cube0,42.022221,75640,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.271667,79689,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.197224,79555,
2,cube0,42.170555,75907,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,50.510555,90919,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,50.545555,90982,
3,cube0,41.856667,75342,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.013332,79224,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.037777,79268,
4,cube0,42.048889,75688,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,50.454445,90818,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,50.360001,90648,
5,cube0,42.023335,75642,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.161110,79490,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.097778,79376,
6,cube0,42.238888,76030,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,50.619446,91115,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,50.528332,90951,
7,cube0,41.949444,75509,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.090000,79362,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.073334,79332,
8,cube0,42.259998,76068,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,50.572777,91031,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,50.526669,90948,
9,cube0,42.084999,75753,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.083332,79350,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.167221,79501,
10,cube0,42.332222,76198,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,50.742222,91336,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,50.724445,91304,
11,cube0,42.005554,75610,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.008888,79216,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.081112,79346,
12,cube0,42.177223,75919,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,50.480556,90865,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,50.541111,90974,
13,cube0,41.990555,75583,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.066666,79320,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.016109,79229,
14,cube0,42.224998,76005,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,50.481110,90866,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,50.559444,91007,
15,cube0,41.660557,74989,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,43.660000,78588,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,43.744999,78741,
16,cube0,41.526112,74747,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,41.508335,74715,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,41.553890,74797,
17,cube0,41.711113,75080,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,41.690556,75043,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,41.734444,75122,
18,cube0,41.506668,74712,22.680765,11.340383,90.723061,11.340383,0.000000,22.680765,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,41.460556,74629,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,41.508335,74715,
19,cube0,41.512222,74722,4.536153,2.268076,18.144611,2.268076,0.000000,4.536153,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,41.478889,74662,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,41.473331,74652,
