block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,41.840557,75313,0.112296,0.112296,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.254444,90458,0.550283,0.072589,0.000000,0.000000,0.000000,0.083459,484608,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.388889,90700,0.550283,0.072589,0.000000,0.000000,0.000000,0.083459,484608,
1,cube0,41.773335,75192,0.113197,0.113197,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.005001,79209,0.294182,0.043669,0.000000,0.000000,0.000000,0.047631,272576,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.053890,79297,0.121813,0.014979,0.000000,0.000000,0.000000,0.021719,109504,
2,cube0,41.938889,75490,0.113197,0.113197,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.415001,90747,0.465618,0.058344,0.000000,0.000000,0.000000,0.072463,407296,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.356110,90641,0.379434,0.044277,0.000000,0.000000,0.000000,0.059528,325760,
3,cube0,41.608891,74896,0.112746,0.112746,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.858334,78945,0.380367,0.058103,0.000000,0.000000,0.000000,0.060535,354112,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.831112,78896,0.294182,0.043669,0.000000,0.000000,0.000000,0.047631,272576,
4,cube0,41.801666,75243,0.113679,0.113679,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.106667,90192,0.379434,0.044277,0.000000,0.000000,0.000000,0.059528,325760,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.173332,90312,0.207065,0.017002,0.000000,0.000000,0.000000,0.033543,162688,
5,cube0,41.876110,75377,0.112390,0.112390,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.001667,79203,0.465031,0.072652,0.000000,0.000000,0.000000,0.071394,431424,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.127777,79430,0.465031,0.072652,0.000000,0.000000,0.000000,0.071394,431424,
6,cube0,42.103333,75786,0.112987,0.112987,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.487778,90878,0.334822,0.037358,0.000000,0.000000,0.000000,0.051216,280768,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.418335,90753,0.119235,0.004644,0.000000,0.000000,0.000000,0.018795,76928,
7,cube0,41.736111,75125,0.111845,0.111845,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.837223,78907,0.423459,0.065335,0.000000,0.000000,0.000000,0.066981,394880,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.952778,79115,0.380367,0.058103,0.000000,0.000000,0.000000,0.060535,354112,
8,cube0,42.021111,75638,0.113197,0.113197,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.342777,90617,0.422526,0.051289,0.000000,0.000000,0.000000,0.065996,366528,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.416668,90750,0.293281,0.030440,0.000000,0.000000,0.000000,0.046572,244224,
9,cube0,41.760555,75169,0.113113,0.113113,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.914444,79046,0.337306,0.050891,0.000000,0.000000,0.000000,0.054088,313344,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.836113,78905,0.208050,0.029287,0.000000,0.000000,0.000000,0.034717,191040,
10,cube0,42.084999,75753,0.112746,0.112746,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.434444,90782,0.508711,0.065419,0.000000,0.000000,0.000000,0.078920,448064,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.455555,90820,0.465618,0.058344,0.000000,0.000000,0.000000,0.072463,407296,
11,cube0,41.757221,75163,0.112746,0.112746,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
