block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
0,cube0,42.387779,76298,5.951667,0.110216,4.563889,0.084516,8.745000,0.161944,0.001111,0.000021,3433.227539,10.166667,0.188272,120.069153,0.000000,12.348889,0.228683,0.427222,1.691111,9.285556,0.000000,0.000000,0.000000,0.122778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378889,11.381111,14.545000,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.849445,91529,29.165001,0.540093,7.068889,0.130905,82.532097,0.999444,0.018508,61.069084,0.000000,26.421112,0.489280,1.946667,5.975000,0.008333,0.000000,0.000000,1.460556,0.187222,22.953333,NA,NA,NA,1.412778,1.120556,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.859444,91547,29.165001,0.540093,7.011111,0.129835,83.212242,0.932778,0.017274,65.433754,0.000000,27.208889,0.503868,1.946667,5.975000,0.008333,0.000000,0.000000,1.460556,0.161111,22.878334,NA,NA,NA,0.621667,1.042778,
1,cube0,42.321667,76179,6.023334,0.111543,4.563889,0.084516,5.979445,0.110730,0.001111,0.000021,3433.227539,9.620000,0.178148,126.892227,0.000000,12.952778,0.239866,0.420000,1.681111,7.220556,0.000000,0.000000,0.000000,0.133889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.657222,4.474444,11.947222,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.552223,80194,15.591666,0.288735,3.772222,0.069856,81.469635,0.748333,0.013858,91.756638,0.000000,16.397778,0.303663,1.629444,4.482222,0.001667,0.000000,0.000000,0.282222,0.182222,13.037778,NA,NA,NA,0.609444,12.378333,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.544998,80181,6.456111,0.119558,1.666111,0.030854,73.695908,1.060000,0.019630,64.777878,0.000000,12.549444,0.232397,1.380556,3.088333,0.001667,0.000000,0.000000,0.285556,0.167222,5.298333,NA,NA,NA,9.662778,15.892222,
2,cube0,42.517223,76531,5.999444,0.111101,4.575555,0.084733,8.151111,0.150946,0.001111,0.000021,3433.227539,9.855000,0.182500,123.866379,0.000000,14.385000,0.266389,0.437222,1.726111,9.022223,0.000000,0.000000,0.000000,0.152778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.207222,11.056666,7.048333,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.122776,92021,24.677778,0.456996,6.245000,0.115648,78.645683,1.408333,0.026080,65.007858,0.000000,21.557777,0.399218,1.836667,5.315000,0.005000,0.000000,0.000000,0.874444,0.182778,17.963888,NA,NA,NA,0.630000,7.058889,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.134445,92042,20.110001,0.372407,4.968333,0.092006,80.283318,1.427778,0.026440,64.122543,0.000000,20.732779,0.383940,1.711111,4.617222,0.005000,0.000000,0.000000,0.878333,0.169444,13.141666,NA,NA,NA,6.272222,6.938334,
3,cube0,42.159443,75887,5.975555,0.110658,4.563889,0.084516,8.261666,0.152994,0.001111,0.000021,3433.227539,9.708889,0.179794,125.730469,0.000000,13.060000,0.241852,0.421667,1.687222,8.870000,0.000000,0.000000,0.000000,0.109444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.145555,5.455555,14.735556,NA,NA,
