block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,42.213333,75984,22.538382,11.691785,11.709394,22.555988,323,0.084516,13,0.175401,1,0.000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.000000,1281.000000,664.000000,4.428706,4.000000,0.035317,0.000000,0.000000,1280.000000,10.767428,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.700001,91260,1.126919,10.771762,10.787169,1.146728,99,0.135720,7,0.017418,612.625000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,611.750000,4.894920,64.000000,0.603276,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.744999,91341,1.126919,10.771762,10.787169,1.146728,99,0.139907,7,0.015586,612.625000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,611.750000,4.894920,64.000000,0.603276,
1,cube0,42.143333,75858,22.538382,12.114380,12.131988,22.555988,323,0.084599,14,0.130874,1,0.000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.588780,4.000000,0.035317,0.000000,0.000000,1280.000000,10.767428,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.357777,79844,1.267784,5.674213,5.689620,1.287593,57,0.064733,6,0.018117,323.125000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,322.250000,2.578485,72.000000,0.678685,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.405556,79930,1.267784,2.267044,2.282451,1.287593,21,0.029702,6,0.018765,129.625000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.030194,72.000000,0.678685,
2,cube0,42.306667,76152,22.538382,12.114380,12.131988,22.555988,323,0.084599,14,0.148282,1,0.000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.588780,4.000000,0.035317,0.000000,0.000000,1280.000000,10.767428,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.750000,91350,1.690379,9.068176,9.083584,1.710188,81,0.109352,9,0.023837,515.875000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,515.000000,4.120774,96.000000,0.904914,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.807220,91453,1.690379,7.364592,7.379999,1.710188,63,0.090340,9,0.022572,419.125000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,418.250000,3.346629,96.000000,0.904914,
3,cube0,41.977779,75560,22.538382,12.114380,12.131988,22.555988,323,0.084558,14,0.158086,1,0.000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.588780,4.000000,0.035317,0.000000,0.000000,1280.000000,10.767428,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.139446,79451,1.267784,7.377798,7.393205,1.287593,75,0.090494,6,0.016718,419.875000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,419.000000,3.352630,72.000000,0.678685,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.165001,79497,1.267784,5.674213,5.689620,1.287593,57,0.069249,6,0.017284,323.125000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,322.250000,2.578485,72.000000,0.678685,
4,cube0,42.169998,75906,22.538382,12.114380,12.131988,22.555988,323,0.084681,14,0.119630,1,0.000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.588780,4.000000,0.035317,0.000000,0.000000,1280.000000,10.767428,NA,NA,NA,NA,
