block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,98.623337,177522,0.219970,0.219970,0.000000,655360,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.175003,182115,0.528884,0.157563,0.000000,0.000000,0.000000,0.112503,1624256,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.195000,182151,0.402638,0.118208,0.000000,0.000000,0.000000,0.086992,1234624,
1,cube0,98.925552,178066,0.219324,0.219324,0.000000,655360,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.449448,182609,0.529610,0.157447,0.000000,0.000000,0.000000,0.113534,1628480,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.433334,182580,0.403363,0.118098,0.000000,0.000000,0.000000,0.088018,1238848,
2,cube0,98.736664,177726,0.220070,0.220070,0.000000,655360,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.133331,178440,0.515315,0.159079,0.000000,0.000000,0.000000,0.111081,1606528,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.158333,178485,0.389069,0.119695,0.000000,0.000000,0.000000,0.085596,1216896,
3,cube0,98.785004,177813,0.219109,0.219109,0.000000,655360,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.572777,193631,0.503453,0.133669,0.000000,0.000000,0.000000,0.101702,1466048,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.600555,193681,0.310766,0.074705,0.000000,0.000000,0.000000,0.060711,863872,
4,cube0,98.843887,177919,0.219720,0.219720,0.000000,655360,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.821114,190478,0.490611,0.134615,0.000000,0.000000,0.000000,0.101146,1452544,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.851669,190533,0.297923,0.075380,0.000000,0.000000,0.000000,0.060055,850368,
5,cube0,98.943336,178098,0.219439,0.219439,0.000000,655360,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.595558,182872,0.462748,0.137232,0.000000,0.000000,0.000000,0.097122,1412864,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.625000,182925,0.270060,0.077578,0.000000,0.000000,0.000000,0.055946,810688,
6,cube0,98.857224,177943,0.219540,0.219540,0.000000,655360,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.503334,182706,0.529129,0.157543,0.000000,0.000000,0.000000,0.112793,1625408,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.555557,182800,0.402883,0.118193,0.000000,0.000000,0.000000,0.087282,1235776,
7,cube0,98.651665,177573,0.220285,0.220285,0.000000,655360,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.255554,182260,0.529855,0.157427,0.000000,0.000000,0.000000,0.113824,1629632,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.226112,182207,0.403609,0.118083,0.000000,0.000000,0.000000,0.088303,1240000,
8,cube0,98.752777,177755,0.219970,0.219970,0.000000,655360,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.084442,178352,0.515315,0.159079,0.000000,0.000000,0.000000,0.111081,1606528,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.121109,178418,0.389069,0.119695,0.000000,0.000000,0.000000,0.085596,1216896,
9,cube0,98.942780,178097,0.218994,0.218994,0.000000,655360,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.447777,193406,0.503208,0.133679,0.000000,0.000000,0.000000,0.101421,1464896,
