block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,98.623337,177522,8193,2048,3326,2307,3330,2306,80.001953,59.064690,69.033005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.175003,182115,33,112,8366,2,8406,0,22.758621,99.988075,99.326202,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.195000,182151,49,96,6339,0,6306,1,33.793102,99.992096,99.241653,
1,cube0,98.925552,178066,8193,2048,3532,2361,3512,2376,80.001953,59.791191,69.189903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.449448,182609,33,176,8378,1,8394,1,15.789474,99.988075,98.951897,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.433334,182580,49,160,6335,1,6310,0,23.444977,99.992096,98.747566,
2,cube0,98.736664,177726,8193,2048,3282,2370,3250,2367,80.001953,57.964329,68.456535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.133331,178440,33,96,8240,1,8276,1,25.581396,99.987892,99.411308,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.158333,178485,33,96,6209,1,6180,0,25.581396,99.991928,99.225174,
3,cube0,98.785004,177813,8193,2048,2494,3148,2502,3125,80.001953,44.334015,61.315666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.572777,193631,49,144,7725,1,7751,1,25.388601,99.987076,99.068344,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.600555,193681,113,64,4648,0,4637,1,63.841808,99.989227,99.313118,
4,cube0,98.843887,177919,8193,2048,2493,3406,2503,3379,80.001953,42.407265,59.890110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.821114,190478,49,192,7598,1,7623,0,20.331951,99.993431,98.751862,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.851669,190533,97,128,4524,2,4504,0,43.111111,99.977852,98.595352,
5,cube0,98.943336,178098,8193,2048,2235,3388,2249,3397,80.001953,39.790577,58.935379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.595558,182872,49,96,7311,1,7397,1,33.793102,99.986404,99.340286,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.625000,182925,65,64,4295,1,4222,0,50.387596,99.988258,99.248291,
6,cube0,98.857224,177943,8193,2048,3331,2312,3329,2297,80.001953,59.100185,69.051605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.503334,182706,49,112,8451,1,8321,1,30.434782,99.988075,99.326836,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.555557,182800,65,96,6270,0,6375,1,40.372669,99.992096,99.242599,
7,cube0,98.651665,177573,8193,2048,3519,2371,3525,2366,80.001953,59.791191,69.189903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.255554,182260,49,176,8376,1,8396,1,21.777779,99.988075,98.952881,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.226112,182207,65,160,6345,0,6300,1,28.888889,99.992096,98.749123,
8,cube0,98.752777,177755,8193,2048,3262,2370,3270,2367,80.001953,57.964329,68.456535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.084442,178352,1,128,8285,1,8231,1,0.775194,99.987892,99.219078,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.121109,178418,33,96,6180,0,6209,1,25.581396,99.991928,99.225174,
9,cube0,98.942780,178097,8193,2048,2509,3128,2487,3145,80.001953,44.334015,61.315666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.447777,193406,65,112,7728,0,7748,2,36.723164,99.987076,99.271797,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.427223,193369,97,64,4643,1,4642,0,60.248447,99.989227,99.311951,
10,cube0,98.996666,178194,8193,2048,2502,3383,2494,3402,80.001953,42.407265,59.890110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.537224,193567,33,208,7739,0,7737,2,13.692946,99.987076,98.664040,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.556114,193601,97,128,4643,1,4642,0,43.111111,99.989227,98.643677,
11,cube0,98.966110,178139,8193,2048,2244,3394,2240,3391,80.001953,39.790577,58.935379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.282219,178708,49,80,7206,1,7246,1,37.984497,99.986160,99.437698,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.300003,178740,49,64,4153,0,4108,1,43.362831,99.987900,99.223877,
12,cube0,98.887222,177997,8193,2048,3345,2297,3315,2312,80.001953,59.100185,69.051605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.529442,182753,49,112,8421,2,8351,0,30.434782,99.988075,99.326836,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.523888,182743,65,96,6284,0,6360,2,40.372669,99.984184,99.234795,
13,cube0,99.057220,178303,8193,2048,3527,2365,3517,2372,80.001953,59.791191,69.189903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.690002,183042,49,176,8402,1,8371,0,21.777779,99.994041,98.958763,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.695557,183052,65,160,6289,1,6356,0,28.888889,99.992096,98.749123,
14,cube0,99.019447,178235,8193,2048,3282,2358,3250,2379,80.001953,57.964329,68.456535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.654442,182978,17,144,8409,2,8363,0,10.559006,99.988075,99.137878,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.666664,183000,65,96,6290,1,6354,1,40.372669,99.984184,99.234795,
15,cube0,98.862221,177952,8193,2048,2494,3128,2502,3145,80.001953,44.334015,61.315666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
