block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,98.623337,177522,43.736248,12.027469,12.032807,43.750130,1283,0.167122,30,0.140385,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408.625000,5121.625000,1408.000000,4.555859,6.500000,0.027842,0.000000,0.000000,5120.000000,20.894444,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.175003,182115,0.615041,17.904526,17.910933,0.629990,387,0.226151,8,0.008974,2096.750000,73.750000,NA,NA,NA,NA,NA,NA,NA,NA,2096.000000,8.136202,72.000000,0.329251,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.195000,182151,0.615041,13.496733,13.503139,0.629990,291,0.177417,8,0.009540,1580.750000,73.750000,NA,NA,NA,NA,NA,NA,NA,NA,1580.000000,6.133205,72.000000,0.329251,
1,cube0,98.925552,178066,43.736248,12.574171,12.579511,43.750130,1283,0.166832,34,0.140706,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1472.625000,5121.625000,1472.000000,4.762944,6.500000,0.027842,0.000000,0.000000,5120.000000,20.894444,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.449448,182609,0.888393,17.904526,17.910933,0.903341,387,0.222913,10,0.011592,2096.750000,105.750000,NA,NA,NA,NA,NA,NA,NA,NA,2096.000000,8.136202,104.000000,0.475585,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.433334,182580,0.888393,13.496733,13.503139,0.903341,291,0.170005,10,0.012127,1580.750000,105.750000,NA,NA,NA,NA,NA,NA,NA,NA,1580.000000,6.133205,104.000000,0.475585,
2,cube0,98.736664,177726,43.736248,12.027469,12.032807,43.750130,1283,0.167122,30,0.142467,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408.625000,5121.625000,1408.000000,4.555859,6.500000,0.027842,0.000000,0.000000,5120.000000,20.894444,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.133331,178440,0.546703,17.631176,17.637581,0.561652,385,0.229975,7,0.008163,2064.750000,65.750000,NA,NA,NA,NA,NA,NA,NA,NA,2064.000000,8.011986,64.000000,0.292668,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.158333,178485,0.546703,13.223381,13.229788,0.561652,289,0.175070,7,0.010140,1548.750000,65.750000,NA,NA,NA,NA,NA,NA,NA,NA,1548.000000,6.008989,64.000000,0.292668,
3,cube0,98.785004,177813,43.736248,12.027469,12.032807,43.750130,1283,0.166912,30,0.152142,1,0.000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408.625000,5121.625000,1408.000000,4.555859,6.500000,0.027842,0.000000,0.000000,5120.000000,20.894444,NA,NA,NA,NA,
