block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,98.623337,177522,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.175003,182115,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.195000,182151,
1,cube0,98.925552,178066,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.449448,182609,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.433334,182580,
2,cube0,98.736664,177726,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,99.133331,178440,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,99.158333,178485,
3,cube0,98.785004,177813,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,107.572777,193631,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,107.600555,193681,
4,cube0,98.843887,177919,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,105.821114,190478,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,105.851669,190533,
5,cube0,98.943336,178098,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.595558,182872,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.625000,182925,
6,cube0,98.857224,177943,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.503334,182706,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.555557,182800,
7,cube0,98.651665,177573,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.255554,182260,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.226112,182207,
8,cube0,98.752777,177755,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,99.084442,178352,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,99.121109,178418,
9,cube0,98.942780,178097,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,107.447777,193406,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,107.427223,193369,
10,cube0,98.996666,178194,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,107.537224,193567,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,107.556114,193601,
11,cube0,98.966110,178139,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,99.282219,178708,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,99.300003,178740,
12,cube0,98.887222,177997,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.529442,182753,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.523888,182743,
13,cube0,99.057220,178303,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.690002,183042,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.695557,183052,
14,cube0,99.019447,178235,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.654442,182978,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.666664,183000,
15,cube0,98.862221,177952,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,105.827225,190489,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,105.890556,190603,
16,cube0,99.143333,178458,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,108.037224,194467,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,108.057220,194503,
17,cube0,99.434448,178982,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,101.765556,183178,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,101.775002,183195,
18,cube0,98.262222,176872,43.736248,21.868124,174.944992,21.868124,0.000000,43.736248,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,98.461113,177230,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,98.525002,177345,
19,cube0,97.933334,176280,8.747250,4.373625,34.988998,4.373625,0.000000,8.747250,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,97.924446,176264,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,97.877777,176180,
