block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,98.623337,177522,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,101.175003,182115,109.936440,82.639732,0.001335,0.087691,
0,vector1,NA,NA,101.195000,182151,83.361542,63.120716,0.001335,0.083420,
1,cube0,98.925552,178066,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,101.449448,182609,109.936440,82.913078,0.001335,0.087691,
1,vector1,NA,NA,101.433334,182580,83.361542,63.394070,0.001335,0.083420,
2,cube0,98.736664,177726,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,99.133331,178440,108.366806,80.638710,0.001335,0.087691,
2,vector1,NA,NA,99.158333,178485,81.791908,61.119698,0.001335,0.083420,
3,cube0,98.785004,177813,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,107.572777,193631,100.339233,78.043999,0.001335,0.085556,
3,vector1,NA,NA,107.600555,193681,59.458237,47.857880,0.001335,0.079149,
4,cube0,98.843887,177919,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,105.821114,190478,98.769608,76.316330,0.001335,0.085556,
4,vector1,NA,NA,105.851669,190533,57.888599,46.130207,0.001335,0.079149,
5,cube0,98.943336,178098,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,101.595558,182872,95.630333,72.040947,0.001335,0.085556,
5,vector1,NA,NA,101.625000,182925,54.749325,41.854820,0.001335,0.079149,
6,cube0,98.857224,177943,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,101.503334,182706,109.936440,82.708061,0.001335,0.087691,
6,vector1,NA,NA,101.555557,182800,83.361542,63.189056,0.001335,0.083420,
7,cube0,98.651665,177573,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,101.255554,182260,109.936440,82.981415,0.001335,0.087691,
7,vector1,NA,NA,101.226112,182207,83.361542,63.462406,0.001335,0.083420,
8,cube0,98.752777,177755,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,99.084442,178352,108.366806,80.638710,0.001335,0.087691,
8,vector1,NA,NA,99.121109,178418,81.791908,61.119698,0.001335,0.083420,
9,cube0,98.942780,178097,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,107.447777,193406,100.339233,77.975670,0.001335,0.085556,
9,vector1,NA,NA,107.427223,193369,59.458237,47.789539,0.001335,0.079149,
10,cube0,98.996666,178194,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,107.537224,193567,100.339233,78.249023,0.001335,0.085556,
10,vector1,NA,NA,107.556114,193601,59.458237,48.062893,0.001335,0.079149,
11,cube0,98.966110,178139,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,99.282219,178708,94.060699,70.039925,0.001335,0.085556,
11,vector1,NA,NA,99.300003,178740,53.179691,39.853802,0.001335,0.079149,
12,cube0,98.887222,177997,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,101.529442,182753,109.936440,82.708061,0.001335,0.087691,
12,vector1,NA,NA,101.523888,182743,83.361542,63.189056,0.001335,0.083420,
13,cube0,99.057220,178303,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,101.690002,183042,109.936440,82.981415,0.001335,0.087691,
13,vector1,NA,NA,101.695557,183052,83.361542,63.462406,0.001335,0.083420,
14,cube0,99.019447,178235,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,101.654442,182978,109.936440,82.708061,0.001335,0.087691,
14,vector1,NA,NA,101.666664,183000,83.361542,63.189056,0.001335,0.083420,
15,cube0,98.862221,177952,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,105.827225,190489,98.769608,76.042984,0.001335,0.085556,
15,vector1,NA,NA,105.890556,190603,57.888599,45.856857,0.001335,0.079149,
16,cube0,99.143333,178458,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,108.037224,194467,100.339233,78.249023,0.001335,0.085556,
16,vector1,NA,NA,108.057220,194503,59.458237,48.062893,0.001335,0.079149,
17,cube0,99.434448,178982,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,101.765556,183178,95.630333,71.972610,0.001335,0.085556,
17,vector1,NA,NA,101.775002,183195,54.749325,41.786484,0.001335,0.079149,
18,cube0,98.262222,176872,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,98.461113,177230,108.366806,80.638710,0.001335,0.087691,
18,vector1,NA,NA,98.525002,177345,81.791908,61.119698,0.001335,0.083420,
19,cube0,97.933334,176280,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,97.924446,176264,13.317347,10.096923,0.000267,0.071675,
19,vector1,NA,NA,97.877777,176180,0.029898,0.337418,0.000267,0.069539,
