block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
0,cube0,98.623337,177522,24.416666,0.219970,18.550556,0.167122,15.582778,0.140385,0.001111,0.000010,5578.994629,38.131668,0.343529,128.051376,0.000000,28.082222,0.252993,1.035556,5.935000,28.612778,0.000000,0.000000,0.000000,0.156111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.221111,6.843333,49.755001,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.175003,182115,58.706112,0.528884,25.102777,0.226151,79.628693,0.996111,0.008974,68.932625,0.000000,30.978889,0.279089,3.157778,10.967778,34.892776,0.000000,0.000000,0.000000,0.210556,34.784443,NA,NA,NA,3.061111,2.812222,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.195000,182151,44.692780,0.402638,19.693333,0.177417,76.513481,1.058889,0.009540,64.845856,0.000000,29.833334,0.268769,2.846111,9.318334,28.561666,0.000000,0.000000,0.000000,0.205556,25.771667,NA,NA,NA,14.560555,8.961111,
1,cube0,98.925552,178066,24.344999,0.219324,18.518333,0.166832,15.618333,0.140706,0.001111,0.000010,5578.994629,38.121113,0.343433,128.086838,0.000000,28.697779,0.258539,1.045556,5.992778,28.413889,0.000000,0.000000,0.000000,0.173333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901111,9.048889,49.244999,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.449448,182609,58.786667,0.529610,24.743334,0.222913,80.785454,1.286667,0.011592,77.084557,0.000000,33.573334,0.302462,3.171111,11.010555,34.095001,0.000000,0.000000,0.000000,0.234444,35.480556,NA,NA,NA,1.782778,1.746111,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.433334,182580,44.773335,0.403363,18.870556,0.170005,79.849556,1.346111,0.012127,73.680496,0.000000,27.905001,0.251396,2.855556,9.362778,27.611666,0.000000,0.000000,0.000000,0.208333,26.019444,NA,NA,NA,15.886666,10.061111,
2,cube0,98.736664,177726,24.427778,0.220070,18.550556,0.167122,15.813889,0.142467,0.001111,0.000010,5578.994629,40.118889,0.361431,121.708565,0.000000,29.353333,0.264444,1.050556,5.987222,30.375555,0.000000,0.000000,0.000000,0.163889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.165000,18.736666,36.286110,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.133331,178440,57.200001,0.515315,25.527222,0.229975,77.109207,0.906111,0.008163,67.359459,0.000000,30.147778,0.271602,3.155000,10.990556,34.319443,0.000000,0.000000,0.000000,0.223333,36.932777,NA,NA,NA,3.852222,1.778333,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.158333,178485,43.186668,0.389069,19.432777,0.175070,75.968956,1.125556,0.010140,54.226696,0.000000,28.284445,0.254815,2.842778,9.341666,27.532778,0.000000,0.000000,0.000000,0.232222,26.995556,NA,NA,NA,22.156666,2.463333,
3,cube0,98.785004,177813,24.321112,0.219109,18.527222,0.166912,16.887777,0.152142,0.001111,0.000010,5578.994629,38.419445,0.346121,127.092224,0.000000,28.899445,0.260355,1.060000,5.996111,30.496666,0.000000,0.000000,0.000000,0.164444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.162778,18.187778,23.385000,NA,NA,
