block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,98.623337,177522,0.375591,0.249675,0.050931,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,101.175003,182115,0.118003,0.094670,0.006517,0.016817,0.000000,0.248724,0.513894,0.013198,
0,vector1,NA,NA,NA,NA,NA,NA,101.195000,182151,0.088754,0.071006,0.005135,0.012613,0.000000,0.195536,0.408123,0.002603,
1,cube0,98.925552,178066,0.371997,0.242743,0.050506,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,101.449448,182609,0.118003,0.094670,0.006517,0.016817,0.000000,0.245390,0.505140,0.023719,
1,vector1,NA,NA,NA,NA,NA,NA,101.433334,182580,0.088754,0.071006,0.005135,0.012613,0.000000,0.188068,0.401191,0.002603,
2,cube0,98.736664,177726,0.398193,0.269730,0.052197,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,99.133331,178440,0.117688,0.094665,0.006206,0.016817,0.000000,0.252703,0.521832,0.012292,
2,vector1,NA,NA,NA,NA,NA,NA,99.158333,178485,0.088438,0.071001,0.004825,0.012613,0.000000,0.193353,0.404249,0.001727,
3,cube0,98.785004,177813,0.394009,0.264655,0.050931,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,107.572777,193631,0.103979,0.082848,0.006416,0.014715,0.000000,0.217683,0.428969,0.015075,
3,vector1,NA,NA,NA,NA,NA,NA,107.600555,193681,0.059760,0.047347,0.004004,0.008408,0.000000,0.128188,0.262853,0.014234,
4,cube0,98.843887,177919,0.396662,0.268228,0.052623,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,105.821114,190478,0.103664,0.082843,0.006106,0.014715,0.000000,0.227167,0.434960,0.024975,
4,vector1,NA,NA,NA,NA,NA,NA,105.851669,190533,0.059444,0.047342,0.003694,0.008408,0.000000,0.144920,0.280490,0.024134,
5,cube0,98.943336,178098,0.398293,0.268303,0.050506,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,101.595558,182872,0.103033,0.082833,0.005485,0.014715,0.000000,0.214094,0.433268,0.012497,
5,vector1,NA,NA,NA,NA,NA,NA,101.625000,182925,0.058814,0.047332,0.003073,0.008408,0.000000,0.132162,0.272983,0.011657,
6,cube0,98.857224,177943,0.376957,0.247257,0.051772,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,101.503334,182706,0.118003,0.094670,0.006517,0.016817,0.000000,0.248589,0.511451,0.013198,
6,vector1,NA,NA,NA,NA,NA,NA,101.555557,182800,0.088754,0.071006,0.005135,0.012613,0.000000,0.195340,0.406602,0.002603,
7,cube0,98.651665,177573,0.382528,0.256001,0.052197,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,101.255554,182260,0.118003,0.094670,0.006517,0.016817,0.000000,0.251842,0.512743,0.023674,
7,vector1,NA,NA,NA,NA,NA,NA,101.226112,182207,0.088754,0.071006,0.005135,0.012613,0.000000,0.194700,0.406256,0.002603,
8,cube0,98.752777,177755,0.367187,0.242608,0.050931,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,99.084442,178352,0.117688,0.094665,0.006206,0.016817,0.000000,0.244374,0.514134,0.012297,
8,vector1,NA,NA,NA,NA,NA,NA,99.121109,178418,0.088438,0.071001,0.004825,0.012613,0.000000,0.191667,0.407578,0.001727,
9,cube0,98.942780,178097,0.379540,0.249945,0.051772,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,107.447777,193406,0.103979,0.082848,0.006416,0.014715,0.000000,0.223458,0.435080,0.015110,
9,vector1,NA,NA,NA,NA,NA,NA,107.427223,193369,0.059760,0.047347,0.004004,0.008408,0.000000,0.130015,0.264504,0.014234,
10,cube0,98.996666,178194,0.380966,0.250245,0.050931,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,107.537224,193567,0.103979,0.082848,0.006416,0.014715,0.000000,0.218514,0.426932,0.025831,
10,vector1,NA,NA,NA,NA,NA,NA,107.556114,193601,0.059760,0.047347,0.004004,0.008408,0.000000,0.133268,0.265926,0.024990,
11,cube0,98.966110,178139,0.396396,0.264509,0.050931,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,99.282219,178708,0.102718,0.082828,0.005175,0.014715,0.000000,0.215841,0.434074,0.011642,
11,vector1,NA,NA,NA,NA,NA,NA,99.300003,178740,0.058498,0.047327,0.002763,0.008408,0.000000,0.126872,0.270000,0.010801,
12,cube0,98.887222,177997,0.374925,0.246056,0.051171,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,101.529442,182753,0.118003,0.094670,0.006517,0.016817,0.000000,0.247382,0.509520,0.013198,
12,vector1,NA,NA,NA,NA,NA,NA,101.523888,182743,0.088754,0.071006,0.005135,0.012613,0.000000,0.194525,0.404449,0.002603,
13,cube0,99.057220,178303,0.398699,0.269164,0.054324,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,101.690002,183042,0.118003,0.094670,0.006517,0.016817,0.000000,0.242523,0.505225,0.023744,
13,vector1,NA,NA,NA,NA,NA,NA,101.695557,183052,0.088754,0.071006,0.005135,0.012613,0.000000,0.186972,0.399114,0.002603,
14,cube0,99.019447,178235,0.366466,0.239164,0.050931,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,101.654442,182978,0.118003,0.094670,0.006517,0.016817,0.000000,0.248113,0.510561,0.013153,
14,vector1,NA,NA,NA,NA,NA,NA,101.666664,183000,0.088754,0.071006,0.005135,0.012613,0.000000,0.182983,0.396336,0.002583,
15,cube0,98.862221,177952,0.380125,0.250771,0.051772,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,105.827225,190489,0.103664,0.082843,0.006106,0.014715,0.000000,0.234234,0.444895,0.014219,
15,vector1,NA,NA,NA,NA,NA,NA,105.890556,190603,0.059444,0.047342,0.003694,0.008408,0.000000,0.134995,0.268704,0.013378,
