block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,10.835000,19503,1,512,27,521,23,524,0.194932,4.566210,3.171642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.758889,28366,1,80,324,0,322,1,1.234568,99.845444,88.873627,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.725555,28306,17,64,258,0,259,1,20.987654,99.806953,89.148582,
1,cube0,10.818334,19473,1,512,34,513,36,512,0.194932,6.392694,4.415423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.073889,19933,15,66,67,1,67,0,18.518518,99.259262,68.981483,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.065556,19918,3,78,3,1,2,0,3.703704,83.333336,9.195402,
2,cube0,10.877778,19580,1,512,33,514,36,512,0.194932,6.301370,4.353234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.077222,19939,1,80,65,1,69,0,1.234568,99.259262,62.500000,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.208333,20175,17,64,2,0,3,1,20.987654,83.333336,25.287355,
3,cube0,10.790556,19423,1,512,36,512,34,513,0.194932,6.392694,4.415423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.997778,19796,1,80,67,1,67,0,1.234568,99.259262,62.500000,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.026111,19847,17,64,2,1,3,0,20.987654,83.333336,25.287355,
4,cube0,10.785000,19413,1,512,36,512,34,513,0.194932,6.392694,4.415423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.641666,28155,17,64,322,1,324,0,20.987654,99.845444,91.071426,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.673333,28212,17,64,259,1,258,0,20.987654,99.806953,89.148582,
5,cube0,10.796111,19433,1,512,28,520,27,521,0.194932,5.018248,3.480423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.000000,19800,17,64,66,1,67,1,20.987654,98.518517,69.444443,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.108889,19996,17,64,4,1,1,0,20.987654,83.333336,25.287355,
6,cube0,10.749444,19349,1,512,34,513,36,512,0.194932,6.392694,4.415423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.025000,19845,17,64,66,0,68,1,20.987654,99.259262,69.907410,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.050000,19890,17,64,3,0,2,1,20.987654,83.333336,25.287355,
7,cube0,10.757222,19363,1,512,34,513,36,512,0.194932,6.392694,4.415423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.936666,19686,1,80,68,0,66,1,1.234568,99.259262,62.500000,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.957222,19723,17,64,3,0,2,1,20.987654,83.333336,25.287355,
