block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,10.835000,19503,12.999773,6.906129,6.950562,13.025163,67,0.051481,10,0.095895,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.615958,2.000000,0.050926,0.000000,0.000000,256.000000,6.210478,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.758889,28366,2.031214,4.068777,4.106862,2.062952,8,0.049352,4,0.023765,80.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,80.125000,1.848940,40.000000,1.087374,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.725555,28306,2.031214,3.249943,3.288028,2.062952,5,0.038704,4,0.025185,64.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,64.000000,1.476844,40.000000,1.087374,
1,cube0,10.818334,19473,12.999773,6.906129,6.950562,13.025163,67,0.051481,10,0.097160,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.615958,2.000000,0.050926,0.000000,0.000000,256.000000,6.210478,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.073889,19933,2.031214,0.818833,0.856919,2.062952,4,0.009784,4,0.023889,16.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,16.125000,0.372095,40.000000,1.087374,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.065556,19918,2.031214,0.000000,0.038085,2.062952,1,0.000062,4,0.025864,0.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,40.000000,1.087374,
2,cube0,10.877778,19580,12.999773,6.906129,6.950562,13.025163,67,0.051481,10,0.099228,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.615958,2.000000,0.050926,0.000000,0.000000,256.000000,6.210478,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.077222,19939,2.031214,0.818833,0.856919,2.062952,4,0.008827,4,0.027932,16.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,16.125000,0.372095,40.000000,1.087374,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.208333,20175,2.031214,0.000000,0.038085,2.062952,1,0.000062,4,0.047963,0.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,40.000000,1.087374,
3,cube0,10.790556,19423,12.999773,6.906129,6.950562,13.025163,67,0.051481,10,0.109630,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.615958,2.000000,0.050926,0.000000,0.000000,256.000000,6.210478,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.997778,19796,2.031214,0.818833,0.856919,2.062952,4,0.009568,4,0.024105,16.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,16.125000,0.372095,40.000000,1.087374,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.026111,19847,2.031214,0.000000,0.038085,2.062952,1,0.000062,4,0.026049,0.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,40.000000,1.087374,
4,cube0,10.785000,19413,12.999773,6.906129,6.950562,13.025163,67,0.051481,10,0.091358,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.875000,256.500000,136.000000,2.615958,2.000000,0.050926,0.000000,0.000000,256.000000,6.210478,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.641666,28155,2.031214,4.068777,4.106862,2.062952,8,0.048086,4,0.022130,80.875000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,80.125000,1.848940,40.000000,1.087374,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.673333,28212,2.031214,3.249943,3.288028,2.062952,5,0.039846,4,0.022130,64.750000,40.625000,NA,NA,NA,NA,NA,NA,NA,NA,64.000000,1.476844,40.000000,1.087374,
5,cube0,10.796111,19433,12.999773,6.906129,6.956910,13.025163,67,0.051481,10,0.095833,1,0.000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.000000,256.500000,136.000000,2.615958,2.000000,0.050926,0.000000,0.000000,256.000000,6.210478,NA,NA,NA,NA,
