block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,10.835000,19503,12.999773,6.499887,51.999092,6.499887,0.000000,12.999773,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.758889,28366,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,15.725555,28306,
1,cube0,10.818334,19473,12.999773,6.499887,51.999092,6.499887,0.000000,12.999773,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,11.073889,19933,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,11.065556,19918,
2,cube0,10.877778,19580,12.999773,6.499887,51.999092,6.499887,0.000000,12.999773,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,11.077222,19939,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,11.208333,20175,
3,cube0,10.790556,19423,12.999773,6.499887,51.999092,6.499887,0.000000,12.999773,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.997778,19796,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,11.026111,19847,
4,cube0,10.785000,19413,12.999773,6.499887,51.999092,6.499887,0.000000,12.999773,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.641666,28155,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,15.673333,28212,
5,cube0,10.796111,19433,12.999773,6.499887,51.999092,6.499887,0.000000,12.999773,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,11.000000,19800,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,11.108889,19996,
6,cube0,10.749444,19349,12.999773,6.499887,51.999092,6.499887,0.000000,12.999773,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,11.025000,19845,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,11.050000,19890,
7,cube0,10.757222,19363,12.999773,6.499887,51.999092,6.499887,0.000000,12.999773,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,10.936666,19686,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,10.957222,19723,
