block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,10.835000,19503,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,15.758889,28366,26.989763,39.392868,0.000793,0.418938,
0,vector1,NA,NA,15.725555,28306,17.684259,28.525869,0.000793,0.412590,
1,cube0,10.818334,19473,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,11.073889,19933,9.483232,13.279065,0.000793,0.418938,
1,vector1,NA,NA,11.065556,19918,0.177731,2.412067,0.000793,0.412590,
2,cube0,10.877778,19580,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,11.077222,19939,9.483232,13.279065,0.000793,0.418938,
2,vector1,NA,NA,11.208333,20175,0.177731,2.412067,0.000793,0.412590,
3,cube0,10.790556,19423,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,10.997778,19796,9.483232,13.279065,0.000793,0.418938,
3,vector1,NA,NA,11.026111,19847,0.177731,2.412067,0.000793,0.412590,
4,cube0,10.785000,19413,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,15.641666,28155,26.989763,39.392868,0.000793,0.418938,
4,vector1,NA,NA,15.673333,28212,17.684259,28.525869,0.000793,0.412590,
5,cube0,10.796111,19433,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,11.000000,19800,9.483232,13.279065,0.000793,0.418938,
5,vector1,NA,NA,11.108889,19996,0.177731,2.412067,0.000793,0.412590,
6,cube0,10.749444,19349,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,11.025000,19845,9.483232,13.279065,0.000793,0.418938,
6,vector1,NA,NA,11.050000,19890,0.177731,2.412067,0.000793,0.412590,
7,cube0,10.757222,19363,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,10.936666,19686,9.483232,13.279065,0.000793,0.418938,
7,vector1,NA,NA,10.957222,19723,0.177731,2.412067,0.000793,0.412590,
