block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
0,cube0,10.835000,19503,1.209444,0.067191,0.926667,0.051481,1.726111,0.095895,0.001111,0.000062,1716.613770,1.806111,0.100340,135.174744,0.000000,3.905000,0.216944,0.085000,0.300000,1.840000,0.000000,0.000000,0.000000,0.127778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.403889,2.758889,0.080000,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.758889,28366,6.015000,0.334167,0.888333,0.049352,86.018562,0.427778,0.023765,89.174744,0.000000,6.776111,0.376451,1.001667,2.302222,0.000000,0.000000,0.000000,0.000000,0.103889,0.753333,NA,NA,NA,2.261667,0.919444,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.725555,28306,4.187222,0.232623,0.696667,0.038704,87.610275,0.453333,0.025185,84.147728,0.000000,5.687222,0.315957,0.947778,1.990000,0.000000,0.000000,0.000000,0.000000,0.122778,0.230556,NA,NA,NA,1.377222,2.996667,
1,cube0,10.818334,19473,1.209444,0.067191,0.926667,0.051481,1.748889,0.097160,0.001111,0.000062,1716.613770,1.841111,0.102284,132.605057,0.000000,4.805000,0.266944,0.076667,0.292222,1.893889,0.000000,0.000000,0.000000,0.133889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308889,2.777222,0.978889,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.073889,19933,2.167222,0.120401,0.176111,0.009784,87.319855,0.430000,0.023889,88.713890,0.000000,6.401111,0.355617,0.983889,2.251667,0.000000,0.000000,0.000000,0.000000,0.126111,0.759444,NA,NA,NA,1.178333,0.892222,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.065556,19918,0.339444,0.018858,0.001111,0.000062,0.000000,0.465556,0.025864,81.938599,0.000000,6.052222,0.336235,0.930556,1.938889,0.000000,0.000000,0.000000,0.000000,0.124444,0.230556,NA,NA,NA,1.371111,2.965000,
2,cube0,10.877778,19580,1.209444,0.067191,0.926667,0.051481,1.786111,0.099228,0.001111,0.000062,1716.613770,1.895555,0.105309,128.796356,0.000000,5.545000,0.308056,0.076667,0.292222,1.843889,0.000000,0.000000,0.000000,0.105556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.150000,2.775556,1.242222,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.077222,19939,2.167222,0.120401,0.158889,0.008827,96.784607,0.502778,0.027932,75.872437,0.000000,6.777778,0.376543,0.985000,2.251111,0.000000,0.000000,0.000000,0.000000,0.135000,0.738333,NA,NA,NA,1.308333,1.677778,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.208333,20175,0.339444,0.018858,0.001111,0.000062,0.000000,0.863333,0.047963,44.185684,0.000000,6.701667,0.372315,0.930556,1.938889,0.000000,0.000000,0.000000,0.000000,0.113889,0.231111,NA,NA,NA,1.150556,3.763333,
3,cube0,10.790556,19423,1.209444,0.067191,0.926667,0.051481,1.973333,0.109630,0.001111,0.000062,1716.613770,1.868333,0.103796,130.672943,0.000000,4.979445,0.276636,0.076667,0.292222,1.912778,0.000000,0.000000,0.000000,0.133889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561667,2.811111,0.000000,NA,NA,
