block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,10.835000,19503,0.201667,0.141790,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,15.758889,28366,0.014938,0.005154,0.003302,0.006481,0.000000,0.054753,0.003827,0.070802,
0,vector1,NA,NA,NA,NA,NA,NA,15.725555,28306,0.001944,0.000031,0.001914,0.000000,0.000000,0.042593,0.001204,0.005494,
1,cube0,10.818334,19473,0.211759,0.152562,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,11.073889,19933,0.012994,0.005123,0.001389,0.006481,0.000000,0.012747,0.003827,0.065401,
1,vector1,NA,NA,NA,NA,NA,NA,11.065556,19918,0.000000,0.000000,0.000000,0.000000,0.000000,0.001512,0.001204,0.000278,
2,cube0,10.877778,19580,0.216636,0.154414,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,11.077222,19939,0.012994,0.005123,0.001389,0.006481,0.000000,0.011790,0.003827,0.065401,
2,vector1,NA,NA,NA,NA,NA,NA,11.208333,20175,0.000000,0.000000,0.000000,0.000000,0.000000,0.001543,0.001235,0.000463,
3,cube0,10.790556,19423,0.234599,0.182500,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,10.997778,19796,0.012994,0.005123,0.001389,0.006481,0.000000,0.012531,0.003827,0.065340,
3,vector1,NA,NA,NA,NA,NA,NA,11.026111,19847,0.000000,0.000000,0.000000,0.000000,0.000000,0.001543,0.001235,0.000278,
4,cube0,10.785000,19413,0.210247,0.160185,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,15.641666,28155,0.014938,0.005154,0.003302,0.006481,0.000000,0.053488,0.003827,0.070802,
4,vector1,NA,NA,NA,NA,NA,NA,15.673333,28212,0.001944,0.000031,0.001914,0.000000,0.000000,0.043796,0.001265,0.005494,
5,cube0,10.796111,19433,0.213951,0.166265,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,11.000000,19800,0.012994,0.005123,0.001389,0.006481,0.000000,0.012593,0.003827,0.065401,
5,vector1,NA,NA,NA,NA,NA,NA,11.108889,19996,0.000000,0.000000,0.000000,0.000000,0.000000,0.001574,0.001265,0.000463,
6,cube0,10.749444,19349,0.214815,0.164290,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,11.025000,19845,0.012994,0.005123,0.001389,0.006481,0.000000,0.012222,0.003827,0.065401,
6,vector1,NA,NA,NA,NA,NA,NA,11.050000,19890,0.000000,0.000000,0.000000,0.000000,0.000000,0.001512,0.001204,0.000463,
7,cube0,10.757222,19363,0.217562,0.156451,0.027315,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,10.936666,19686,0.012994,0.005123,0.001389,0.006481,0.000000,0.015154,0.003827,0.065340,
7,vector1,NA,NA,NA,NA,NA,NA,10.957222,19723,0.000000,0.000000,0.000000,0.000000,0.000000,0.001512,0.001204,0.000278,
