block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,43.149445,77669,0.108212,0.108212,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.820000,93276,0.530273,0.069949,0.000000,0.000000,0.000000,0.080424,484608,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.816666,93270,0.530273,0.069949,0.000000,0.000000,0.000000,0.080424,484608,
1,cube0,42.994999,77391,0.109081,0.109081,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.191113,81344,0.283485,0.042081,0.000000,0.000000,0.000000,0.045899,272576,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.232777,81419,0.117384,0.014434,0.000000,0.000000,0.000000,0.020929,109504,
2,cube0,43.202778,77765,0.109081,0.109081,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.596111,92873,0.448687,0.056222,0.000000,0.000000,0.000000,0.069828,407296,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.606110,92891,0.365636,0.042667,0.000000,0.000000,0.000000,0.057364,325760,
3,cube0,43.017776,77432,0.108646,0.108646,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.148335,81267,0.366535,0.055990,0.000000,0.000000,0.000000,0.058333,354112,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.126110,81227,0.283485,0.042081,0.000000,0.000000,0.000000,0.045899,272576,
4,cube0,43.072777,77531,0.109949,0.109949,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.435001,92583,0.365636,0.042667,0.000000,0.000000,0.000000,0.057364,325760,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.496113,92693,0.199535,0.016384,0.000000,0.000000,0.000000,0.032323,162688,
5,cube0,42.850555,77131,0.108242,0.108242,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.007778,81014,0.448121,0.070010,0.000000,0.000000,0.000000,0.068798,431424,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.987778,80978,0.448121,0.070010,0.000000,0.000000,0.000000,0.068798,431424,
6,cube0,42.959999,77328,0.108879,0.108879,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.405556,92530,0.322646,0.036000,0.000000,0.000000,0.000000,0.049354,280768,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.411110,92540,0.114899,0.004475,0.000000,0.000000,0.000000,0.018111,76928,
7,cube0,42.722221,76900,0.108212,0.108212,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.886665,80796,0.408061,0.062960,0.000000,0.000000,0.000000,0.064545,394880,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.915554,80848,0.366535,0.055990,0.000000,0.000000,0.000000,0.058333,354112,
8,cube0,42.985554,77374,0.108879,0.108879,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.581112,92846,0.407162,0.049424,0.000000,0.000000,0.000000,0.063596,366528,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.599445,92879,0.282586,0.029323,0.000000,0.000000,0.000000,0.044869,244224,
9,cube0,42.845554,77122,0.108646,0.108646,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.947777,80906,0.325040,0.049040,0.000000,0.000000,0.000000,0.052121,313344,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.970001,80946,0.200465,0.028212,0.000000,0.000000,0.000000,0.033455,191040,
10,cube0,43.028889,77452,0.108212,0.108212,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.461113,92630,0.490212,0.063040,0.000000,0.000000,0.000000,0.076051,448064,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.478333,92661,0.448687,0.056222,0.000000,0.000000,0.000000,0.069828,407296,
11,cube0,42.819443,77075,0.109081,0.109081,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.942223,80896,0.240525,0.035222,0.000000,0.000000,0.000000,0.037768,227584,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.996113,80993,0.032747,0.001343,0.000000,0.000000,0.000000,0.006374,23744,
12,cube0,43.061111,77510,0.107778,0.107778,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.517223,92731,0.530273,0.069949,0.000000,0.000000,0.000000,0.080424,484608,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.512779,92723,0.530273,0.069949,0.000000,0.000000,0.000000,0.080424,484608,
13,cube0,42.558887,76606,0.109949,0.109949,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.645557,80362,0.283485,0.042081,0.000000,0.000000,0.000000,0.045899,272576,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.635555,80344,0.117384,0.014434,0.000000,0.000000,0.000000,0.020929,109504,
14,cube0,42.904999,77229,0.108879,0.108879,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.236668,92226,0.448687,0.056222,0.000000,0.000000,0.000000,0.069828,407296,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.268333,92283,0.365636,0.042667,0.000000,0.000000,0.000000,0.057364,325760,
15,cube0,42.513889,76525,0.108646,0.108646,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.639446,80351,0.366535,0.055990,0.000000,0.000000,0.000000,0.058333,354112,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.637779,80348,0.283485,0.042081,0.000000,0.000000,0.000000,0.045899,272576,
16,cube0,42.395557,76312,0.108879,0.108879,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.381668,76287,0.256101,0.042424,0.000000,0.000000,0.000000,0.042172,254848,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.334446,76202,0.090000,0.014505,0.000000,0.000000,0.000000,0.017424,91776,
17,cube0,42.386112,76295,0.107778,0.107778,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.360554,76249,0.420737,0.070434,0.000000,0.000000,0.000000,0.064960,413696,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.342224,76216,0.420737,0.070434,0.000000,0.000000,0.000000,0.064960,413696,
18,cube0,42.377777,76280,0.108646,0.108646,0.000000,163840,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.361111,76250,0.213111,0.035556,0.000000,0.000000,0.000000,0.033970,209856,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.326668,76188,0.005364,0.000424,0.000000,0.000000,0.000000,0.004929,6016,
19,cube0,42.233891,76021,0.021556,0.021556,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.193333,75948,0.047010,0.007636,0.000000,0.000000,0.000000,0.009263,46784,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.176109,75917,0.005364,0.000424,0.000000,0.000000,0.000000,0.004929,6016,
