block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,43.149445,77669,1537,1024,512,2151,514,2143,60.015617,19.285715,32.521255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.820000,93276,1,128,2451,0,2449,1,0.775194,99.979599,97.435387,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.816666,93270,65,64,2444,1,2456,0,50.387596,99.979599,98.707756,
1,cube0,42.994999,77391,1537,1024,2230,513,2257,512,60.015617,81.404205,74.619102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.191113,81344,1,144,1277,1,1307,0,0.689655,99.961319,94.688644,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.232777,81419,17,128,519,0,517,1,11.724138,99.903564,89.086296,
2,cube0,43.202778,77765,1537,1024,1116,1626,1131,1639,60.015617,40.765602,46.872292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.596111,92873,1,192,2072,1,2054,0,0.518135,99.975769,95.532410,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.606110,92891,65,128,1676,1,1676,0,33.678757,99.970177,96.362099,
3,cube0,43.017776,77432,1537,1024,1208,1554,1194,1556,60.015617,43.577648,48.792271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.148335,81267,1,144,1682,0,1676,1,0.689655,99.970230,95.861870,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.126110,81227,17,128,1292,0,1292,1,11.724138,99.961319,95.274727,
4,cube0,43.072777,77531,1537,1024,2213,544,2214,541,60.015617,80.315674,73.875885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.435001,92583,1,192,1672,1,1680,0,0.518135,99.970177,94.557251,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.496113,92693,65,128,901,1,903,0,33.678757,99.944595,93.543541,
5,cube0,42.850555,77131,1537,1024,1053,1612,1046,1609,60.015617,39.454887,46.136276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.007778,81014,1,80,2061,1,2070,1,1.234568,99.951607,98.054108,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.987778,80978,17,64,2076,2,2055,0,20.987654,99.951607,98.433792,
6,cube0,42.959999,77328,1537,1024,1622,1052,1605,1041,60.015617,60.657894,60.449181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.405556,92530,1,128,1488,1,1477,0,0.775194,99.966286,95.831985,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.411110,92540,65,64,506,0,524,1,50.387596,99.903008,94.396553,
7,cube0,42.722221,76900,1537,1024,607,2139,616,2150,60.015617,22.187954,34.188034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
