block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,43.149445,77669,22.153879,11.492325,11.509632,22.171186,323,0.082980,13,0.184131,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.000000,1281.000000,664.000000,4.353153,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.820000,93276,1.107694,10.587996,10.603141,1.127165,99,0.153010,7,0.016737,612.625000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,611.750000,4.811414,64.000000,0.592984,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.816666,93270,1.107694,10.587996,10.603141,1.127165,99,0.150051,7,0.020838,612.625000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,611.750000,4.811414,64.000000,0.592984,
1,cube0,42.994999,77391,22.153879,11.907710,11.925017,22.171186,323,0.082980,14,0.127040,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.191113,81344,1.246156,5.577412,5.592556,1.265627,57,0.073525,6,0.013192,323.125000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,322.250000,2.534496,72.000000,0.667107,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.232777,81419,1.246156,2.228369,2.243513,1.265627,21,0.029859,6,0.013919,129.625000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.012619,72.000000,0.667107,
2,cube0,43.202778,77765,22.153879,11.907710,11.925017,22.171186,323,0.083798,14,0.146545,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.596111,92873,1.661541,8.913475,8.928619,1.681012,81,0.110333,9,0.021596,515.875000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,515.000000,4.050475,96.000000,0.889476,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.606110,92891,1.661541,7.238953,7.254097,1.681012,63,0.088818,9,0.022051,419.125000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,418.250000,3.289536,96.000000,0.889476,
3,cube0,43.017776,77432,22.153879,11.907710,11.925017,22.171186,323,0.082980,14,0.137071,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.148335,81267,1.246156,7.251934,7.267078,1.265627,75,0.094606,6,0.012869,419.875000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,419.000000,3.295435,72.000000,0.667107,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.126110,81227,1.246156,5.577412,5.592556,1.265627,57,0.076687,6,0.013778,323.125000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,322.250000,2.534496,72.000000,0.667107,
4,cube0,43.072777,77531,22.153879,11.907710,11.925017,22.171186,323,0.083192,14,0.106263,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.435001,92583,1.661541,7.238953,7.254097,1.681012,63,0.093222,9,0.020182,419.125000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,418.250000,3.289536,96.000000,0.889476,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.496113,92693,1.661541,3.889910,3.905054,1.681012,27,0.046566,9,0.021313,225.625000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,224.750000,1.767659,96.000000,0.889476,
5,cube0,42.850555,77131,22.153879,11.492325,11.509632,22.171186,323,0.082980,13,0.174828,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.000000,1281.000000,664.000000,4.353153,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.007778,81014,0.692309,8.926455,8.941600,0.711780,93,0.131515,4,0.008737,516.625000,41.125000,NA,NA,NA,NA,NA,NA,NA,NA,515.750000,4.056374,40.000000,0.370615,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.987778,80978,0.692309,8.926455,8.941600,0.711780,93,0.131626,4,0.010424,516.625000,41.125000,NA,NA,NA,NA,NA,NA,NA,NA,515.750000,4.056374,40.000000,0.370615,
6,cube0,42.959999,77328,22.153879,11.492325,11.509632,22.171186,323,0.083192,13,0.165566,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.000000,1281.000000,664.000000,4.353153,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.405556,92530,1.107694,6.401692,6.416837,1.127165,54,0.090212,7,0.015929,370.750000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,369.875000,2.909067,64.000000,0.592984,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.411110,92540,1.107694,2.215388,2.230532,1.127165,9,0.026515,7,0.017788,128.875000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,128.000000,1.006720,64.000000,0.592984,
7,cube0,42.722221,76900,22.153879,11.907710,11.925017,22.171186,323,0.082980,14,0.182434,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.886665,80796,1.246156,8.089195,8.104339,1.265627,84,0.108374,6,0.012919,468.250000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,467.375000,3.675905,72.000000,0.667107,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.915554,80848,1.246156,7.251934,7.267078,1.265627,75,0.097051,6,0.014808,419.875000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,419.000000,3.295435,72.000000,0.667107,
8,cube0,42.985554,77374,22.153879,11.907710,11.925017,22.171186,323,0.082980,14,0.160909,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.581112,92846,1.661541,8.076214,8.091358,1.681012,72,0.111889,9,0.022788,467.500000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,466.625000,3.670006,96.000000,0.889476,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.599445,92879,1.661541,5.564431,5.579576,1.681012,45,0.078061,9,0.023222,322.375000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,321.500000,2.528597,96.000000,0.889476,
9,cube0,42.845554,77122,22.153879,11.907710,11.925017,22.171186,323,0.083162,14,0.152646,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.947777,80906,1.246156,6.414673,6.429817,1.265627,66,0.085545,6,0.012707,371.500000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,370.625000,2.914965,72.000000,0.667107,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.970001,80946,1.246156,3.902890,3.918035,1.265627,39,0.047909,6,0.014000,226.375000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,225.500000,1.773557,72.000000,0.667107,
10,cube0,43.028889,77452,22.153879,11.907710,11.925017,22.171186,323,0.083020,14,0.174101,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.461113,92630,1.661541,9.750735,9.765880,1.681012,90,0.143121,9,0.020232,564.250000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,563.375000,4.430944,96.000000,0.889476,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.478333,92661,1.661541,8.913475,8.928619,1.681012,81,0.132040,9,0.021465,515.875000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,515.000000,4.050475,96.000000,0.889476,
11,cube0,42.819443,77075,22.153879,11.492325,11.509632,22.171186,323,0.082980,13,0.149515,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.000000,1281.000000,664.000000,4.353153,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.942223,80896,0.692309,4.740151,4.755296,0.711780,48,0.064727,4,0.007667,274.750000,41.125000,NA,NA,NA,NA,NA,NA,NA,NA,273.875000,2.154027,40.000000,0.370615,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.996113,80993,0.692309,0.553847,0.568991,0.711780,3,0.008141,4,0.008030,32.875000,41.125000,NA,NA,NA,NA,NA,NA,NA,NA,32.000000,0.251680,40.000000,0.370615,
12,cube0,43.061111,77510,22.153879,11.492325,11.509632,22.171186,323,0.082980,13,0.184626,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.000000,1281.000000,664.000000,4.353153,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.517223,92731,1.107694,10.587996,10.603141,1.127165,99,0.137990,7,0.016172,612.625000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,611.750000,4.811414,64.000000,0.592984,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.512779,92723,1.107694,10.587996,10.603141,1.127165,99,0.140606,7,0.016697,612.625000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,611.750000,4.811414,64.000000,0.592984,
13,cube0,42.558887,76606,22.153879,11.907710,11.925017,22.171186,323,0.082980,14,0.134707,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.645557,80362,1.246156,5.577412,5.592556,1.265627,57,0.072414,6,0.013677,323.125000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,322.250000,2.534496,72.000000,0.667107,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.635555,80344,1.246156,2.228369,2.243513,1.265627,21,0.028657,6,0.013879,129.625000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,128.750000,1.012619,72.000000,0.667107,
14,cube0,42.904999,77229,22.153879,11.907710,11.925017,22.171186,323,0.083192,14,0.142960,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.236668,92226,1.661541,8.913475,8.928619,1.681012,81,0.111515,9,0.023869,515.875000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,515.000000,4.050475,96.000000,0.889476,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.268333,92283,1.661541,7.238953,7.254097,1.681012,63,0.093879,9,0.024172,419.125000,97.125000,NA,NA,NA,NA,NA,NA,NA,NA,418.250000,3.289536,96.000000,0.889476,
15,cube0,42.513889,76525,22.153879,11.907710,11.925017,22.171186,323,0.083020,14,0.167475,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.639446,80351,1.246156,7.251934,7.267078,1.265627,75,0.106727,6,0.017273,419.875000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,419.000000,3.295435,72.000000,0.667107,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.637779,80348,1.246156,5.577412,5.592556,1.265627,57,0.086616,6,0.017505,323.125000,73.125000,NA,NA,NA,NA,NA,NA,NA,NA,322.250000,2.534496,72.000000,0.667107,
16,cube0,42.395557,76312,22.153879,11.907710,11.925017,22.171186,323,0.082980,14,0.134485,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689.000000,1281.000000,688.000000,4.510496,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.381668,76287,1.107694,5.023565,5.038709,1.127165,55,0.064747,5,0.010293,291.125000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,290.250000,2.282816,64.000000,0.592984,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.334446,76202,1.107694,1.674522,1.689666,1.127165,19,0.021010,5,0.009970,97.625000,65.125000,NA,NA,NA,NA,NA,NA,NA,NA,96.750000,0.760939,64.000000,0.592984,
17,cube0,42.386112,76295,22.153879,11.492325,11.509632,22.171186,323,0.082980,13,0.144495,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.000000,1281.000000,664.000000,4.353153,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.360554,76249,0.553847,8.372609,8.387753,0.573318,91,0.118667,3,0.005657,484.625000,33.125000,NA,NA,NA,NA,NA,NA,NA,NA,483.750000,3.804694,32.000000,0.296492,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.342224,76216,0.553847,8.372609,8.387753,0.573318,91,0.118131,3,0.007606,484.625000,33.125000,NA,NA,NA,NA,NA,NA,NA,NA,483.750000,3.804694,32.000000,0.296492,
18,cube0,42.377777,76280,22.153879,11.180786,11.198093,22.171186,323,0.083192,13,0.145141,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647.000000,1281.000000,646.000000,4.235146,4.000000,0.034714,0.000000,0.000000,1280.000000,10.583737,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.361111,76250,0.553847,4.186305,4.201448,0.573318,46,0.057323,3,0.004919,242.750000,33.125000,NA,NA,NA,NA,NA,NA,NA,NA,241.875000,1.902347,32.000000,0.296492,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.326668,76188,0.553847,0.000000,0.012981,0.573318,1,0.000020,3,0.005061,0.750000,33.125000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,32.000000,0.296492,
19,cube0,42.233891,76021,4.430776,2.319234,2.336542,4.439430,67,0.016636,5,0.065596,1,0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.000000,256.500000,134.000000,0.878498,2.000000,0.017357,0.000000,0.000000,256.000000,2.116747,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.193333,75948,0.553847,0.837261,0.852405,0.564664,10,0.009808,3,0.005747,49.250000,32.625000,NA,NA,NA,NA,NA,NA,NA,NA,48.375000,0.380469,32.000000,0.296492,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.176109,75917,0.553847,0.000000,0.012981,0.564664,1,0.000020,3,0.007273,0.750000,32.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,0.000000,32.000000,0.296492,
