block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,43.149445,77669,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,51.820000,93276,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,51.816666,93270,
1,cube0,42.994999,77391,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,45.191113,81344,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,45.232777,81419,
2,cube0,43.202778,77765,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,51.596111,92873,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,51.606110,92891,
3,cube0,43.017776,77432,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,45.148335,81267,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,45.126110,81227,
4,cube0,43.072777,77531,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,51.435001,92583,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,51.496113,92693,
5,cube0,42.850555,77131,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,45.007778,81014,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.987778,80978,
6,cube0,42.959999,77328,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,51.405556,92530,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,51.411110,92540,
7,cube0,42.722221,76900,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.886665,80796,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.915554,80848,
8,cube0,42.985554,77374,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,51.581112,92846,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,51.599445,92879,
9,cube0,42.845554,77122,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.947777,80906,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.970001,80946,
10,cube0,43.028889,77452,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,51.461113,92630,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,51.478333,92661,
11,cube0,42.819443,77075,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.942223,80896,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.996113,80993,
12,cube0,43.061111,77510,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,51.517223,92731,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,51.512779,92723,
13,cube0,42.558887,76606,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.645557,80362,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.635555,80344,
14,cube0,42.904999,77229,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,51.236668,92226,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,51.268333,92283,
15,cube0,42.513889,76525,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,44.639446,80351,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,44.637779,80348,
16,cube0,42.395557,76312,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,42.381668,76287,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,42.334446,76202,
17,cube0,42.386112,76295,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,42.360554,76249,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,42.342224,76216,
18,cube0,42.377777,76280,22.153879,11.076940,88.615517,11.076940,0.000000,22.153879,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,42.361111,76250,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,42.326668,76188,
19,cube0,42.233891,76021,4.430776,2.215388,17.723103,2.215388,0.000000,4.430776,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,42.193333,75948,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,42.176109,75917,
