block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,43.149445,77669,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,51.820000,93276,72.363571,70.814529,0.001352,0.163342,
0,vector1,NA,NA,51.816666,93270,72.363571,70.814529,0.001352,0.163342,
1,cube0,42.994999,77391,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,45.191113,81344,38.989964,37.639957,0.001352,0.154688,
1,vector1,NA,NA,45.232777,81419,15.157234,16.074543,0.001352,0.146034,
2,cube0,43.202778,77765,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,51.596111,92873,60.447205,60.585667,0.001352,0.159015,
2,vector1,NA,NA,51.606110,92891,48.530842,49.802956,0.001352,0.154688,
3,cube0,43.017776,77432,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,45.148335,81267,50.906326,48.422668,0.001352,0.159015,
3,vector1,NA,NA,45.126110,81227,38.989964,37.639957,0.001352,0.154688,
4,cube0,43.072777,77531,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,51.435001,92583,48.530842,49.802956,0.001352,0.154688,
4,vector1,NA,NA,51.496113,92693,24.698114,28.237543,0.001352,0.146034,
5,cube0,42.850555,77131,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,45.007778,81014,62.822689,58.651531,0.001352,0.163342,
5,vector1,NA,NA,44.987778,80978,62.822689,58.651531,0.001352,0.163342,
6,cube0,42.959999,77328,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,51.405556,92530,42.572659,43.857761,0.001352,0.152524,
6,vector1,NA,NA,51.411110,92540,12.781749,16.900986,0.001352,0.141707,
7,cube0,42.722221,76900,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,44.886665,80796,56.864506,53.814022,0.001352,0.161178,
7,vector1,NA,NA,44.915554,80848,50.906326,48.422668,0.001352,0.159015,
8,cube0,42.985554,77374,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,51.581112,92846,54.489025,55.194313,0.001352,0.156851,
8,vector1,NA,NA,51.599445,92879,36.614479,39.020252,0.001352,0.150361,
9,cube0,42.845554,77122,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,44.947777,80906,44.948143,43.031315,0.001352,0.156851,
9,vector1,NA,NA,44.970001,80946,27.073597,26.857252,0.001352,0.150361,
10,cube0,43.028889,77452,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,51.461113,92630,66.405388,65.977020,0.001352,0.161178,
10,vector1,NA,NA,51.478333,92661,60.447205,60.585667,0.001352,0.159015,
11,cube0,42.819443,77075,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,44.942223,80896,33.031780,31.694759,0.001352,0.152524,
11,vector1,NA,NA,44.996113,80993,3.240870,4.737988,0.001352,0.141707,
12,cube0,43.061111,77510,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,51.517223,92731,72.363571,70.814529,0.001352,0.163342,
12,vector1,NA,NA,51.512779,92723,72.363571,70.814529,0.001352,0.163342,
13,cube0,42.558887,76606,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,44.645557,80362,38.989964,37.639957,0.001352,0.154688,
13,vector1,NA,NA,44.635555,80344,15.157234,16.074543,0.001352,0.146034,
14,cube0,42.904999,77229,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,51.236668,92226,60.447205,60.585667,0.001352,0.159015,
14,vector1,NA,NA,51.268333,92283,48.530842,49.802956,0.001352,0.154688,
15,cube0,42.513889,76525,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,44.639446,80351,50.906326,48.422668,0.001352,0.159015,
15,vector1,NA,NA,44.637779,80348,38.989964,37.639957,0.001352,0.154688,
16,cube0,42.395557,76312,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,42.381668,76287,35.809666,33.585625,0.001352,0.154688,
16,vector1,NA,NA,42.334446,76202,11.976941,12.020209,0.001352,0.146034,
17,cube0,42.386112,76295,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,42.360554,76249,59.642399,54.597198,0.001352,0.163342,
17,vector1,NA,NA,42.342224,76216,59.642399,54.597198,0.001352,0.163342,
18,cube0,42.377777,76280,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,42.361111,76250,29.851486,27.640425,0.001352,0.152524,
18,vector1,NA,NA,42.326668,76188,0.060577,0.683655,0.001352,0.141707,
19,cube0,42.233891,76021,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,42.193333,75948,6.018759,6.075009,0.000270,0.142789,
19,vector1,NA,NA,42.176109,75917,0.060577,0.683655,0.000270,0.140625,
