block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id1_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id13_time(us),
0,cube0,43.149445,77669,5.951667,0.108212,4.563889,0.082980,10.127222,0.184131,0.001111,0.000020,3433.227539,9.989445,0.181626,122.199295,0.000000,12.240556,0.222556,0.427222,1.691111,9.936666,0.000000,0.000000,0.000000,0.135556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623333,11.234445,14.617778,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.820000,93276,29.165001,0.530273,8.415556,0.153010,69.325226,0.920556,0.016737,66.302528,0.000000,28.191111,0.512566,1.947778,5.974444,0.008333,0.000000,0.000000,1.460556,0.176111,22.727222,NA,NA,NA,0.650556,1.546667,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.816666,93270,29.165001,0.530273,8.252778,0.150051,70.692589,1.146111,0.020838,53.254135,0.000000,28.415556,0.516646,1.948333,5.974444,0.008333,0.000000,0.000000,1.460556,0.160000,22.657778,NA,NA,NA,0.416667,1.418333,
1,cube0,42.994999,77391,5.999444,0.109081,4.563889,0.082980,6.987222,0.127040,0.001111,0.000020,3433.227539,9.297222,0.169040,131.297623,0.000000,13.416667,0.243939,0.420000,1.681111,7.140555,0.000000,0.000000,0.000000,0.125000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.348333,4.342778,12.045555,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.191113,81344,15.591666,0.283485,4.043889,0.073525,75.996536,0.725556,0.013192,94.637207,0.000000,16.910555,0.307465,1.631111,4.481667,0.001667,0.000000,0.000000,0.282222,0.151667,13.429444,NA,NA,NA,0.362222,13.062778,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.232777,81419,6.456111,0.117384,1.642222,0.029859,74.767937,0.765556,0.013919,89.692444,0.000000,11.829445,0.215081,1.381111,3.088333,0.001667,0.000000,0.000000,0.285556,0.168333,5.327778,NA,NA,NA,11.522223,16.661667,
2,cube0,43.202778,77765,5.999444,0.109081,4.608889,0.083798,8.060000,0.146545,0.001111,0.000020,3433.227539,10.176111,0.185020,119.957726,0.000000,13.111111,0.238384,0.436111,1.726667,8.879444,0.000000,0.000000,0.000000,0.147222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.576667,11.101111,9.826111,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.596111,92873,24.677778,0.448687,6.068333,0.110333,80.935287,1.187778,0.021596,77.079010,0.000000,22.186666,0.403394,1.836667,5.314445,0.005000,0.000000,0.000000,0.875000,0.192222,17.665556,NA,NA,NA,0.540556,7.096111,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.606110,92891,20.110001,0.365636,4.885000,0.088818,81.652870,1.212778,0.022051,75.490120,0.000000,17.486111,0.317929,1.712222,4.616667,0.005000,0.000000,0.000000,0.878333,0.178333,12.976111,NA,NA,NA,10.481112,7.242222,
3,cube0,43.017776,77432,5.975555,0.108646,4.563889,0.082980,7.538889,0.137071,0.001111,0.000020,3433.227539,9.526667,0.173212,128.135391,0.000000,14.235000,0.258818,0.421667,1.687222,8.663333,0.000000,0.000000,0.000000,0.129444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.046667,5.511111,12.729445,NA,NA,
