block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,43.149445,77669,0.253283,0.178990,0.046939,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,51.820000,93276,0.074162,0.044283,0.008667,0.021212,0.000000,0.163990,0.267434,0.028303,
0,vector1,NA,NA,NA,NA,NA,NA,51.816666,93270,0.074162,0.044283,0.008667,0.021212,0.000000,0.161101,0.266434,0.028303,
1,cube0,42.994999,77391,0.209172,0.125394,0.046889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,45.191113,81344,0.043606,0.026556,0.004323,0.012727,0.000000,0.080646,0.112273,0.044788,
1,vector1,NA,NA,NA,NA,NA,NA,45.232777,81419,0.014960,0.008859,0.001859,0.004242,0.000000,0.033111,0.053364,0.023333,
2,cube0,43.202778,77765,0.242475,0.161717,0.046889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,51.596111,92873,0.059838,0.035434,0.007434,0.016970,0.000000,0.119404,0.189434,0.049596,
2,vector1,NA,NA,NA,NA,NA,NA,51.606110,92891,0.045515,0.026586,0.006202,0.012727,0.000000,0.095939,0.154404,0.028303,
3,cube0,43.017776,77432,0.225758,0.148677,0.046889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,45.148335,81267,0.057929,0.035404,0.005556,0.016970,0.000000,0.103717,0.195212,0.044798,
3,vector1,NA,NA,NA,NA,NA,NA,45.126110,81227,0.043606,0.026556,0.004323,0.012727,0.000000,0.083919,0.165172,0.023333,
4,cube0,43.072777,77531,0.217869,0.131141,0.046889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,51.435001,92583,0.045515,0.026586,0.006202,0.012727,0.000000,0.100323,0.116818,0.049535,
4,vector1,NA,NA,NA,NA,NA,NA,51.496113,92693,0.016869,0.008889,0.003737,0.004242,0.000000,0.049808,0.051576,0.028172,
5,cube0,42.850555,77131,0.237859,0.159283,0.046939,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,45.007778,81014,0.072253,0.044253,0.006788,0.021212,0.000000,0.142616,0.280899,0.023343,
5,vector1,NA,NA,NA,NA,NA,NA,44.987778,80978,0.072253,0.044253,0.006788,0.021212,0.000000,0.142768,0.280788,0.023343,
