block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,59.762222,107572,3841,2625,3,2874,1,2888,59.403030,0.069372,31.433945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.432220,124978,4,146,8121,8,8129,5,2.666667,99.920067,99.031258,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.082779,122549,3,98,5455,0,5409,2,2.970297,99.981590,99.088173,
1,cube0,62.558334,112605,3842,2624,643,2554,642,2567,59.418495,20.059319,39.830639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.702225,125464,7,242,8116,1,8144,0,2.811245,99.993851,98.528168,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.246109,122843,5,162,5452,1,5411,0,2.994012,99.990799,98.522346,
2,cube0,62.974445,113354,3842,2624,323,2896,322,2865,59.418495,10.068686,34.858608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.311111,126560,7,242,8131,2,8105,3,2.811245,99.969215,98.502121,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.663887,123595,5,162,5406,1,5454,2,2.994012,99.972382,98.504082,
3,cube0,62.989445,113381,3842,2624,317,2884,328,2877,59.418495,10.068686,34.858608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.624443,127124,7,242,8156,0,8104,1,2.811245,99.993851,98.528168,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.582222,123448,5,162,5403,1,5454,3,2.994012,99.963173,98.494743,
4,cube0,61.845001,111321,3841,2625,324,2878,321,2883,59.403030,10.068686,34.850838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.127777,124430,7,242,8130,1,8124,1,2.811245,99.987694,98.521660,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.857224,122143,5,162,5446,0,5415,3,2.994012,99.972389,98.504219,
5,cube0,59.779446,107603,3842,2624,3,2865,2,2896,59.418495,0.086715,31.450294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
