block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,59.762222,107572,15.127222,0.207222,13.758333,0.188470,9.855000,0.135000,2.301111,0.031522,14.919868,23.032778,0.315518,132.496292,0.000000,20.356667,0.278858,0.591667,2.786111,11.425555,0.000000,0.000000,0.888889,0.136667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.271667,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.432220,124978,47.172779,0.646202,21.245001,0.291027,90.844826,1.536111,0.021043,45.553902,0.010670,19.886110,0.272412,2.794445,7.135000,0.000000,0.000000,0.000000,33.246666,0.701667,2.948333,NA,6.545556,3.548889,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.082779,122549,32.184444,0.440883,15.464444,0.211842,83.206680,1.083889,0.014848,43.333279,0.013676,17.189444,0.235472,2.001111,5.001111,0.000000,0.000000,0.000000,17.901667,0.635556,3.120000,NA,17.106667,11.153334,
1,cube0,62.558334,112605,15.093889,0.206766,13.802222,0.189072,10.292222,0.140989,3.215000,0.044041,10.678780,23.192778,0.317709,131.582245,0.000000,22.184444,0.303896,0.633889,2.860556,11.132222,0.000000,0.000000,0.927222,0.173889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.314999,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.702225,125464,49.761665,0.681667,22.126112,0.303097,87.227188,2.322222,0.031811,49.999458,0.009519,20.603333,0.282237,2.878333,7.275000,0.000000,0.000000,0.000000,34.492779,0.556111,5.025000,NA,6.097778,0.985556,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.246109,122843,34.561111,0.473440,14.622222,0.200304,87.999283,1.533333,0.021005,50.689865,0.013049,18.803888,0.257588,2.063889,5.118889,0.000000,0.000000,0.000000,19.602222,0.436111,2.632222,NA,15.682222,8.371667,
2,cube0,62.974445,113354,16.003334,0.219224,13.743889,0.188272,10.898334,0.149292,3.241111,0.044399,10.592750,24.251667,0.332215,125.837029,0.000000,23.405556,0.320624,0.652778,2.880000,12.021111,0.000000,0.000000,0.913333,0.185000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.843887,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.311111,126560,50.192223,0.687565,20.070000,0.274932,96.163345,2.735000,0.037466,42.453331,0.006340,20.086666,0.275160,2.881111,7.299445,0.000000,0.000000,0.000000,34.070000,0.391111,4.985000,NA,9.568334,0.358333,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.663887,123595,34.845554,0.477336,14.506111,0.198714,88.703651,1.921667,0.026324,40.446377,0.011838,14.790000,0.202603,2.070000,5.141667,0.000000,0.000000,0.000000,19.710556,0.478333,3.842778,NA,20.421667,7.607222,
3,cube0,62.989445,113381,16.286112,0.223097,13.739445,0.188212,11.539444,0.158075,3.317222,0.045441,10.349707,24.976110,0.342138,122.187080,0.000000,22.363890,0.306355,0.662222,2.903889,11.627222,0.000000,0.000000,0.769444,0.201667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.627224,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.624443,127124,50.618889,0.693409,20.500000,0.280822,94.146263,2.578333,0.035320,45.032906,0.009554,20.737223,0.284072,2.880000,7.323889,0.000000,0.000000,0.000000,34.593334,0.571111,4.432222,NA,6.483333,0.408889,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.582222,123448,34.845554,0.477336,14.292778,0.195791,90.027649,1.888333,0.025868,41.160347,0.008429,13.920555,0.190693,2.073333,5.165000,0.000000,0.000000,0.000000,19.631111,0.505556,4.113889,NA,17.270000,9.836111,
4,cube0,61.845001,111321,15.511666,0.212489,13.741667,0.188242,10.398334,0.142443,3.082778,0.042230,11.136799,24.036667,0.329269,126.962601,0.000000,22.848888,0.312998,0.667222,2.928889,11.512222,0.000000,0.000000,0.786667,0.183333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.018333,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.127777,124430,49.251667,0.674680,20.212778,0.276887,95.484070,2.292222,0.031400,50.653835,0.009255,18.334444,0.251157,2.878889,7.348333,0.000000,0.000000,0.000000,33.769444,0.726667,4.674445,NA,9.419444,0.790556,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.857224,122143,34.217777,0.468737,13.928333,0.190799,92.383278,1.636111,0.022412,47.505608,0.013807,14.947222,0.204756,2.070000,5.191111,0.000000,0.000000,0.000000,19.138889,0.674444,3.767778,NA,19.557222,8.830556,
