block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,59.820000,107676,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.295555,124732,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.018890,122434,
1,cube0,62.370556,112267,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.669441,125405,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.191109,122744,
2,cube0,62.982224,113368,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.231667,126417,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.606110,123491,
3,cube0,62.599998,112680,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.639442,127151,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.596664,123474,
4,cube0,62.302223,112144,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.122780,124421,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.850555,122131,
5,cube0,59.105556,106390,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,64.203331,115566,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,64.207222,115573,
6,cube0,59.676109,107417,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.186668,124536,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.842224,122116,
7,cube0,62.098888,111778,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.672226,125410,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.218887,122794,
8,cube0,61.438332,110589,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.895554,125812,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.302780,122945,
9,cube0,61.424999,110565,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.421112,126758,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.389442,123101,
10,cube0,61.356667,110442,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.064445,124316,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.736664,121926,
11,cube0,59.358334,106845,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,64.091667,115365,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,64.057220,115303,
12,cube0,59.206665,106572,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,68.938889,124090,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.670555,121807,
13,cube0,62.688889,112840,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.355003,124839,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,67.877220,122179,
14,cube0,62.487778,112478,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.823891,125683,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.251663,122853,
15,cube0,62.404446,112328,41.598923,20.799461,166.395691,24.959352,0.000000,41.598923,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.256111,126461,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.243332,122838,
16,cube0,51.679443,93023,33.279137,16.639568,133.116547,19.967482,0.000000,33.279137,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,64.038330,115269,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,63.987778,115178,
17,cube0,51.322777,92381,33.279137,16.639568,133.116547,19.967482,0.000000,33.279137,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,69.491112,125084,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.005554,122410,
18,cube0,53.985554,97174,33.279137,16.639568,133.116547,19.967482,0.000000,33.279137,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,70.272224,126490,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,68.214447,122786,
19,cube0,51.635555,92944,33.279137,16.639568,133.116547,19.967482,0.000000,33.279137,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,64.016670,115230,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,63.966667,115140,
