block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,59.820000,107676,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,69.295555,124732,109.187416,85.632034,0.001219,0.006297,
0,vector1,NA,NA,68.018890,122434,72.811111,57.666500,0.001219,0.004469,
1,cube0,62.370556,112267,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,69.669441,125405,109.564407,88.131218,0.001219,0.011781,
1,vector1,NA,NA,68.191109,122744,73.064606,59.856949,0.001219,0.008125,
2,cube0,62.982224,113368,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,70.231667,126417,109.876404,88.755196,0.001219,0.011781,
2,vector1,NA,NA,68.606110,123491,73.272598,60.272938,0.001219,0.008125,
3,cube0,62.599998,112680,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,70.639442,127151,110.178642,89.379181,0.001219,0.011781,
3,vector1,NA,NA,68.596664,123474,73.266098,60.272938,0.001219,0.008125,
4,cube0,62.302223,112144,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,69.122780,124421,109.193916,87.377235,0.001219,0.011781,
4,vector1,NA,NA,67.850555,122131,72.807861,59.349960,0.001219,0.008125,
5,cube0,59.105556,106390,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,64.203331,115566,104.562790,79.603439,0.001219,0.006297,
5,vector1,NA,NA,64.207222,115573,69.723694,53.617107,0.001219,0.004469,
6,cube0,59.676109,107417,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,69.186668,124536,109.193916,85.641785,0.001219,0.006297,
6,vector1,NA,NA,67.842224,122116,72.814362,57.669754,0.001219,0.004469,
7,cube0,62.098888,111778,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,69.672226,125410,109.564407,88.131218,0.001219,0.011781,
7,vector1,NA,NA,68.218887,122794,73.064606,59.856949,0.001219,0.008125,
8,cube0,61.438332,110589,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,69.895554,125812,109.876404,88.755196,0.001219,0.011781,
8,vector1,NA,NA,68.302780,122945,73.272598,60.272938,0.001219,0.008125,
9,cube0,61.424999,110565,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,70.421112,126758,110.178642,89.379181,0.001219,0.011781,
9,vector1,NA,NA,68.389442,123101,73.266098,60.272938,0.001219,0.008125,
10,cube0,61.356667,110442,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,69.064445,124316,109.197166,87.390236,0.001219,0.011781,
10,vector1,NA,NA,67.736664,121926,72.807861,59.349960,0.001219,0.008125,
11,cube0,59.358334,106845,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,64.091667,115365,104.562790,79.603439,0.001219,0.006297,
11,vector1,NA,NA,64.057220,115303,69.723694,53.617107,0.001219,0.004469,
12,cube0,59.206665,106572,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,68.938889,124090,109.193916,85.648277,0.001219,0.006297,
12,vector1,NA,NA,67.670555,121807,72.817612,57.679508,0.001219,0.004469,
13,cube0,62.688889,112840,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,69.355003,124839,109.564407,88.131218,0.001219,0.011781,
13,vector1,NA,NA,67.877220,122179,73.064606,59.856949,0.001219,0.008125,
14,cube0,62.487778,112478,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,69.823891,125683,109.876404,88.755196,0.001219,0.011781,
14,vector1,NA,NA,68.251663,122853,73.272598,60.272938,0.001219,0.008125,
15,cube0,62.404446,112328,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,70.256111,126461,110.178642,89.379181,0.001219,0.011781,
15,vector1,NA,NA,68.243332,122838,73.266098,60.272938,0.001219,0.008125,
16,cube0,51.679443,93023,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,64.038330,115269,83.659332,64.042839,0.001219,0.006297,
16,vector1,NA,NA,63.987778,115178,55.788052,43.243382,0.001219,0.004469,
17,cube0,51.322777,92381,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,69.491112,125084,88.660950,70.828667,0.001219,0.006297,
17,vector1,NA,NA,68.005554,122410,59.128967,47.793259,0.001219,0.004469,
18,cube0,53.985554,97174,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,70.272224,126490,89.275185,73.818581,0.001219,0.011781,
18,vector1,NA,NA,68.214447,122786,59.330460,49.899208,0.001219,0.008125,
19,cube0,51.635555,92944,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,64.016670,115230,83.659332,64.042839,0.001219,0.006297,
19,vector1,NA,NA,63.966667,115140,55.788052,43.243382,0.001219,0.004469,
