block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,59.576111,107237,0.209361,0.209361,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.141113,124454,0.646202,0.194604,0.000000,0.001659,0.000000,0.070297,1191840,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.934448,122282,0.440883,0.132047,0.000000,0.001187,0.000000,0.049962,800576,
1,cube0,62.283333,112110,0.211842,0.211842,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.646667,125364,0.681667,0.199574,0.000000,0.001705,0.000000,0.079148,1209568,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.138336,122649,0.473440,0.137268,0.000000,0.001233,0.000000,0.058904,817536,
2,cube0,62.602779,112685,0.213737,0.213737,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.156670,126282,0.687565,0.198447,0.000000,0.001697,0.000000,0.078706,1209568,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.446114,123203,0.477336,0.136461,0.000000,0.001225,0.000000,0.058554,817536,
3,cube0,62.836666,113106,0.223311,0.223311,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.496666,126894,0.693409,0.197336,0.000000,0.001682,0.000000,0.078265,1209568,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.342781,123017,0.477336,0.136461,0.000000,0.001225,0.000000,0.058554,817536,
4,cube0,61.734444,111122,0.213874,0.213874,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.953331,124116,0.674680,0.200997,0.000000,0.001720,0.000000,0.079718,1209568,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.598335,121677,0.468737,0.138303,0.000000,0.001240,0.000000,0.059346,817536,
5,cube0,59.849445,107729,0.217108,0.217108,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.088890,115360,0.610289,0.201621,0.000000,0.001720,0.000000,0.060860,1162080,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.067223,115321,0.416613,0.136895,0.000000,0.001225,0.000000,0.043501,780352,
6,cube0,59.070000,106326,0.224292,0.224292,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.925552,124066,0.646317,0.194581,0.000000,0.001659,0.000000,0.070289,1191840,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.638336,121749,0.440921,0.132040,0.000000,0.001187,0.000000,0.049954,800576,
7,cube0,62.217224,111991,0.214201,0.214201,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.571114,125228,0.681720,0.199581,0.000000,0.001705,0.000000,0.079155,1209568,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.935555,122284,0.473440,0.137268,0.000000,0.001233,0.000000,0.058904,817536,
8,cube0,61.310001,110358,0.239163,0.239163,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.828331,125691,0.687565,0.198447,0.000000,0.001697,0.000000,0.078706,1209568,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.144447,122660,0.477336,0.136461,0.000000,0.001225,0.000000,0.058554,817536,
9,cube0,61.532776,110759,0.215639,0.215639,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.181114,126326,0.693409,0.197336,0.000000,0.001682,0.000000,0.078265,1209568,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.142220,122656,0.477336,0.136461,0.000000,0.001225,0.000000,0.058554,817536,
10,cube0,62.333889,112201,0.224574,0.224574,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.882774,123989,0.674772,0.200982,0.000000,0.001712,0.000000,0.079711,1209568,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.529999,121554,0.468706,0.138311,0.000000,0.001240,0.000000,0.059353,817536,
11,cube0,59.124443,106424,0.215685,0.215685,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.938889,115090,0.610289,0.201621,0.000000,0.001720,0.000000,0.060860,1162080,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.952221,115114,0.416613,0.136895,0.000000,0.001225,0.000000,0.043501,780352,
12,cube0,58.723888,105703,0.211766,0.211766,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.775002,123795,0.646355,0.194574,0.000000,0.001659,0.000000,0.070282,1191840,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.502220,121504,0.440967,0.132009,0.000000,0.001187,0.000000,0.049947,800576,
13,cube0,61.442223,110596,0.211461,0.211461,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.242226,124636,0.681720,0.199581,0.000000,0.001705,0.000000,0.079155,1209568,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.807220,122053,0.473440,0.137268,0.000000,0.001233,0.000000,0.058904,817536,
14,cube0,62.144444,111860,0.212443,0.212443,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.792778,125627,0.687565,0.198447,0.000000,0.001697,0.000000,0.078706,1209568,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.147224,122665,0.477336,0.136461,0.000000,0.001225,0.000000,0.058554,817536,
15,cube0,62.022221,111640,0.211492,0.211492,0.000000,491520,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.143890,126259,0.693409,0.197336,0.000000,0.001682,0.000000,0.078265,1209568,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.959442,122327,0.477382,0.136476,0.000000,0.001225,0.000000,0.058562,817536,
16,cube0,50.837223,91507,0.178204,0.178204,0.000000,393216,48,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.862221,114952,0.494422,0.162839,0.000000,0.001423,0.000000,0.050639,933504,
