block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,58.030556,104455,46.228546,9.492700,9.296010,41.698231,246,0.189170,87,0.140571,18,0.027245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.595720,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.909447,125837,0.946368,26.101700,26.219391,0.960878,134,0.276103,11,0.021963,2032.875000,74.500000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,73.375000,0.506621,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.477776,123260,0.635211,17.402208,17.515062,0.649721,90,0.195084,8,0.015982,1358.000000,50.375000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,49.250000,0.340049,
1,cube0,61.411110,110540,46.228546,10.524515,10.327826,41.698231,246,0.190616,89,0.138447,18,0.040662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.191109,126344,1.570294,26.101700,26.222616,1.584804,134,0.279954,17,0.034300,2033.125000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,121.750000,0.840628,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.735558,123724,1.051162,17.402208,17.516676,1.065672,90,0.215875,12,0.025091,1358.125000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,81.500000,0.562720,
2,cube0,62.356667,112242,46.228546,10.524515,10.327826,41.698231,246,0.189368,89,0.149338,18,0.034110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.463333,126834,1.570294,26.101700,26.219391,1.584804,134,0.270137,17,0.034376,2032.875000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,121.750000,0.840628,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.885559,123994,1.051162,17.402208,17.513451,1.065672,90,0.175403,12,0.024072,1357.875000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,81.500000,0.562720,
3,cube0,60.572777,109031,46.228546,10.524515,10.327826,41.698231,246,0.188889,89,0.149444,18,0.042846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.004997,127809,1.570294,26.101700,26.212944,1.584804,134,0.274193,17,0.035342,2032.375000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,121.750000,0.840628,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.993889,124189,1.051162,17.402208,17.510225,1.065672,90,0.192839,12,0.023820,1357.625000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,81.500000,0.562720,
4,cube0,61.428333,110571,46.228546,10.524515,10.327826,41.698231,246,0.188349,89,0.143851,18,0.036043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.654999,125379,1.570294,26.101700,26.216167,1.584804,134,0.277808,17,0.035053,2032.625000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,121.750000,0.840628,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.320557,122977,1.051162,17.402208,17.516676,1.065672,90,0.192671,12,0.023029,1358.125000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,81.500000,0.562720,
5,cube0,59.099998,106380,46.228546,9.492700,9.296010,41.698231,246,0.189041,87,0.132489,18,0.024292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.595720,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.621109,116318,0.636823,24.863522,24.957031,0.651333,122,0.261187,8,0.015654,1935.000000,50.500000,NA,NA,NA,NA,NA,NA,NA,NA,1927.750000,11.298519,49.375000,0.340912,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.622223,116320,0.428848,16.576757,16.673489,0.443358,82,0.184688,6,0.010160,1292.750000,34.375000,NA,NA,NA,NA,NA,NA,NA,NA,1285.250000,7.532835,33.250000,0.229576,
6,cube0,59.490555,107083,46.228546,9.492700,9.296010,41.698231,246,0.189102,87,0.148052,18,0.027785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.595720,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.447220,125005,0.946368,26.101700,26.216167,0.960878,134,0.279574,11,0.020342,2032.625000,74.500000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,73.375000,0.506621,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.172226,122710,0.635211,17.402208,17.519899,0.649721,90,0.204330,8,0.015616,1358.375000,50.375000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,49.250000,0.340049,
7,cube0,62.052223,111694,46.228546,10.524515,10.327826,41.698231,246,0.190251,89,0.139391,18,0.027245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.928886,125872,1.570294,26.101700,26.216167,1.584804,134,0.282618,17,0.034247,2032.625000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,121.750000,0.840628,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.499443,123299,1.051162,17.402208,17.515062,1.065672,90,0.206598,12,0.024787,1358.000000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,81.500000,0.562720,
8,cube0,61.453888,110617,46.228546,10.524515,10.327826,41.698231,246,0.189399,89,0.147861,18,0.022595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.238335,126429,1.570294,26.101700,26.219391,1.584804,134,0.267123,17,0.034277,2032.875000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,121.750000,0.840628,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.662781,123593,1.051162,17.402208,17.516676,1.065672,90,0.200175,12,0.024863,1358.125000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,81.500000,0.562720,
9,cube0,61.623333,110922,46.228546,10.524515,10.327826,41.698231,246,0.189642,89,0.149619,18,0.039026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.713890,127285,1.570294,26.101700,26.219391,1.584804,134,0.275213,17,0.037709,2032.875000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,121.750000,0.840628,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.656670,123582,1.051162,17.402208,17.518288,1.065672,90,0.202062,12,0.024414,1358.250000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,81.500000,0.562720,
10,cube0,61.360001,110448,46.228546,10.524515,10.327826,41.698231,246,0.187953,89,0.157169,18,0.041431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.543892,125179,1.570294,26.101700,26.217779,1.584804,134,0.269140,17,0.035639,2032.750000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,121.750000,0.840628,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.154999,122679,1.051162,17.402208,17.516676,1.065672,90,0.191766,12,0.024269,1358.125000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,81.500000,0.562720,
11,cube0,58.958332,106125,46.228546,9.492700,9.296010,41.698231,246,0.188075,87,0.145068,18,0.039840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.595720,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.485001,116073,0.636823,24.863522,24.957031,0.651333,122,0.279140,8,0.013645,1935.000000,50.500000,NA,NA,NA,NA,NA,NA,NA,NA,1927.750000,11.298519,49.375000,0.340912,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.448334,116007,0.428848,16.576757,16.670263,0.443358,82,0.198904,6,0.009825,1292.500000,34.375000,NA,NA,NA,NA,NA,NA,NA,NA,1285.250000,7.532835,33.250000,0.229576,
12,cube0,59.183887,106531,46.228546,9.492700,9.296010,41.698231,246,0.189193,87,0.152382,18,0.042352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.750000,3233.000000,736.000000,3.595720,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.351112,124832,0.946368,26.101700,26.221003,0.960878,134,0.291674,11,0.019947,2033.000000,74.500000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,73.375000,0.506621,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.080002,122544,0.635211,17.402208,17.515062,0.649721,90,0.199049,8,0.014901,1358.000000,50.375000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,49.250000,0.340049,
13,cube0,62.140556,111853,46.228546,10.524515,10.327826,41.698231,246,0.189490,89,0.148737,18,0.044406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.768333,125583,1.570294,26.101700,26.219391,1.584804,134,0.287816,17,0.033691,2032.875000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,121.750000,0.840628,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.317223,122971,1.051162,17.402208,17.516676,1.065672,90,0.212854,12,0.023782,1358.125000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,81.500000,0.562720,
14,cube0,61.625557,110926,46.228546,10.524515,10.327826,41.698231,246,0.187869,89,0.157496,18,0.040837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.298332,126537,1.570294,26.101700,26.217779,1.584804,134,0.271438,17,0.037725,2032.750000,122.875000,NA,NA,NA,NA,NA,NA,NA,NA,2023.750000,11.861174,121.750000,0.840628,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.706108,123671,1.051162,17.402208,17.521511,1.065672,90,0.204528,12,0.025693,1358.500000,82.625000,NA,NA,NA,NA,NA,NA,NA,NA,1349.250000,7.907938,81.500000,0.562720,
15,cube0,63.127777,113630,46.228546,10.524515,10.327826,41.698231,246,0.189094,89,0.154422,18,0.040350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.750000,3233.000000,816.000000,3.986559,36.000000,0.232822,0.000000,0.000000,3200.000000,19.717468,NA,NA,NA,NA,
