block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,57.751110,103952,0.282938,0.273889,0.023607,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,68.834999,123903,0.159132,0.097945,0.037215,0.023973,0.000000,0.119079,0.041530,0.080137,
0,vector1,NA,NA,NA,NA,NA,NA,67.455559,121420,0.106088,0.065297,0.024810,0.015982,0.000000,0.100365,0.026925,0.063082,
1,cube0,61.770000,111186,0.276560,0.267709,0.045152,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,69.367775,124862,0.159132,0.097945,0.037215,0.023973,0.000000,0.135327,0.041834,0.131240,
1,vector1,NA,NA,NA,NA,NA,NA,67.782776,122009,0.106088,0.065297,0.024810,0.015982,0.000000,0.104970,0.027062,0.097161,
2,cube0,62.494446,112490,0.294361,0.285487,0.023569,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,69.675003,125415,0.159132,0.097945,0.037215,0.023973,0.000000,0.125495,0.041202,0.131210,
2,vector1,NA,NA,NA,NA,NA,NA,67.931664,122277,0.106088,0.065297,0.024810,0.015982,0.000000,0.098737,0.027002,0.097161,
3,cube0,60.697777,109256,0.289528,0.280464,0.023569,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,70.105003,126189,0.159132,0.097945,0.037215,0.023973,0.000000,0.124155,0.041233,0.131225,
3,vector1,NA,NA,NA,NA,NA,NA,67.987221,122377,0.106088,0.065297,0.024810,0.015982,0.000000,0.087938,0.026865,0.097154,
4,cube0,61.945557,111502,0.292664,0.283912,0.023569,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,68.607224,123493,0.159132,0.097945,0.037215,0.023973,0.000000,0.122778,0.041393,0.131202,
4,vector1,NA,NA,NA,NA,NA,NA,67.282776,121109,0.106088,0.065297,0.024810,0.015982,0.000000,0.092382,0.027275,0.097169,
5,cube0,59.389446,106901,0.287253,0.278029,0.023607,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,63.746666,114744,0.159132,0.097945,0.037215,0.023973,0.000000,0.104528,0.036644,0.080023,
5,vector1,NA,NA,NA,NA,NA,NA,63.695000,114651,0.106088,0.065297,0.024810,0.015982,0.000000,0.091126,0.024429,0.063006,
6,cube0,59.286110,106715,0.289985,0.284193,0.024003,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,68.527222,123349,0.159132,0.097945,0.037215,0.023973,0.000000,0.120015,0.041027,0.080122,
6,vector1,NA,NA,NA,NA,NA,NA,67.292778,121127,0.106088,0.065297,0.024810,0.015982,0.000000,0.097428,0.026659,0.063090,
7,cube0,61.857777,111344,0.284429,0.274817,0.045129,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,69.109444,124397,0.159132,0.097945,0.037215,0.023973,0.000000,0.127938,0.040700,0.131240,
7,vector1,NA,NA,NA,NA,NA,NA,67.580559,121645,0.106088,0.065297,0.024810,0.015982,0.000000,0.100784,0.027047,0.097139,
8,cube0,61.294998,110331,0.303760,0.294954,0.023569,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,69.573334,125232,0.159132,0.097945,0.037215,0.023973,0.000000,0.135982,0.042047,0.131233,
8,vector1,NA,NA,NA,NA,NA,NA,67.798889,122038,0.106088,0.065297,0.024810,0.015982,0.000000,0.114970,0.026971,0.097161,
9,cube0,61.997223,111595,0.292291,0.283250,0.023569,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,69.805557,125650,0.159132,0.097945,0.037215,0.023973,0.000000,0.134528,0.041248,0.131233,
9,vector1,NA,NA,NA,NA,NA,NA,67.680000,121824,0.106088,0.065297,0.024810,0.015982,0.000000,0.094231,0.026880,0.097161,
10,cube0,61.369999,110466,0.290533,0.282078,0.023569,0.000540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,68.412224,123142,0.159132,0.097945,0.037215,0.023973,0.000000,0.129673,0.040898,0.131233,
