block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,15.484445,27872,0.010808,0.010808,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.636110,35345,0.191995,0.008081,0.000000,0.001212,0.000000,0.054192,41792,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.760555,31969,0.100202,0.000000,0.000000,0.002551,0.000000,0.097626,18048,
1,cube0,16.420555,29557,0.010808,0.010808,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.196667,30954,0.136768,0.014899,0.000000,0.002247,0.000000,0.066869,31488,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.002777,30605,0.100202,0.000000,0.000000,0.002551,0.000000,0.097626,18048,
2,cube0,15.691667,28245,0.010808,0.010808,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.000000,30600,0.137071,0.014949,0.000000,0.002247,0.000000,0.067020,31488,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.959999,30528,0.100202,0.000000,0.000000,0.002551,0.000000,0.097626,18048,
3,cube0,16.282778,29309,0.010808,0.010808,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.124445,30824,0.136768,0.014899,0.000000,0.002247,0.000000,0.066869,31488,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.938889,30490,0.100202,0.000000,0.000000,0.002551,0.000000,0.097626,18048,
4,cube0,15.078889,27142,0.010808,0.010808,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.496111,35093,0.191692,0.008056,0.000000,0.001212,0.000000,0.054116,41792,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.637222,31747,0.100202,0.000000,0.000000,0.002551,0.000000,0.097626,18048,
5,cube0,15.046667,27084,0.010808,0.010808,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.901667,30423,0.136768,0.014899,0.000000,0.002247,0.000000,0.066869,31488,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.886110,30395,0.100202,0.000000,0.000000,0.002551,0.000000,0.097626,18048,
6,cube0,15.341666,27615,0.010808,0.010808,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.855556,30340,0.136768,0.014899,0.000000,0.002247,0.000000,0.066869,31488,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.862778,30353,0.100202,0.000000,0.000000,0.002551,0.000000,0.097626,18048,
7,cube0,15.317778,27572,0.010808,0.010808,0.000000,32768,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.828888,30292,0.137071,0.014949,0.000000,0.002247,0.000000,0.067020,31488,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.828888,30292,0.100202,0.000000,0.000000,0.002551,0.000000,0.097626,18048,
8,cube0,5.931111,10676,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.794445,30230,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.831112,30296,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
9,cube0,6.421111,11558,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.793888,30229,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.823889,30283,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
10,cube0,6.626667,11928,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.790556,30223,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.785000,30213,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
11,cube0,6.856667,12342,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.732779,30119,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.785555,30214,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
12,cube0,6.528889,11752,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.736111,30125,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.766111,30179,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
13,cube0,7.068889,12724,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.715555,30088,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.761667,30171,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
14,cube0,6.888333,12399,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.709444,30077,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.764999,30177,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
15,cube0,6.955000,12519,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.712778,30083,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.764444,30176,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
16,cube0,7.238889,13030,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.711666,30081,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.715555,30088,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
17,cube0,6.937222,12487,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.683889,30031,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.691668,30045,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
18,cube0,6.831666,12297,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.691111,30044,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.684444,30032,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
19,cube0,6.940000,12492,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.684999,30033,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.677778,30020,0.099899,0.000000,0.000000,0.002525,0.000000,0.097348,18048,
