block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,13.826111,24887,9.821895,6.885938,6.172583,3.042075,22,0.034139,14,0.098222,18,0.061444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.608310,34.000000,0.804079,0.000000,0.000000,32.000000,0.721024,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.383333,31290,1.184994,3.790803,4.274234,1.214472,12,0.178889,5,0.027861,90.625000,25.750000,NA,NA,NA,NA,NA,NA,NA,NA,80.375000,1.722623,25.125000,0.634365,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.457778,27824,0.047164,0.011791,0.489326,0.076641,2,0.035083,2,0.005083,10.375000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005358,1.000000,0.025248,
1,cube0,13.884444,24992,9.821895,6.885938,6.172583,3.042075,22,0.033750,14,0.104278,18,0.136417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.608310,34.000000,0.804079,0.000000,0.000000,32.000000,0.721024,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.314445,27566,0.807683,0.772310,1.196785,0.837160,4,0.053250,4,0.037028,25.375000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.350954,17.125000,0.432378,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.719444,26495,0.047164,0.011791,0.353730,0.076641,2,0.076556,2,0.006250,7.500000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005358,1.000000,0.025248,
2,cube0,13.692778,24647,9.821895,6.885938,6.172583,3.042075,22,0.033639,14,0.101694,18,0.121306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.608310,34.000000,0.804079,0.000000,0.000000,32.000000,0.721024,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.824445,26684,0.807683,0.772310,1.208576,0.837160,4,0.068861,4,0.028222,25.625000,17.750000,NA,NA,NA,NA,NA,NA,NA,NA,16.375000,0.350954,17.125000,0.432378,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.684444,26432,0.047164,0.011791,0.424476,0.076641,2,0.041278,2,0.006611,9.000000,1.625000,NA,NA,NA,NA,NA,NA,NA,NA,0.250000,0.005358,1.000000,0.025248,
3,cube0,13.678889,24622,9.821895,6.885938,6.172583,3.042075,22,0.034028,14,0.101667,18,0.165444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.875000,64.500000,146.000000,2.608310,34.000000,0.804079,0.000000,0.000000,32.000000,0.721024,NA,NA,NA,NA,
