block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,13.826111,24887,0.108556,0.112750,0.090806,0.001972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,17.383333,31290,0.009333,0.003194,0.000306,0.005833,0.000000,0.034278,0.001750,0.132444,
0,vector1,NA,NA,NA,NA,NA,NA,15.457778,27824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000556,0.000000,0.105861,
1,cube0,13.884444,24992,0.114611,0.119611,0.094167,0.001972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,15.314445,27566,0.009333,0.003194,0.000306,0.005833,0.000000,0.018278,0.000000,0.132333,
1,vector1,NA,NA,NA,NA,NA,NA,14.719444,26495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000556,0.000000,0.105861,
2,cube0,13.692778,24647,0.112028,0.117028,0.090500,0.001972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,14.824445,26684,0.009333,0.003194,0.000306,0.005833,0.000000,0.019056,0.000000,0.128139,
2,vector1,NA,NA,NA,NA,NA,NA,14.684444,26432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000528,0.000000,0.106000,
3,cube0,13.678889,24622,0.112000,0.117194,0.095167,0.001972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,15.266111,27479,0.009333,0.003194,0.000306,0.005833,0.000000,0.018861,0.000000,0.132500,
3,vector1,NA,NA,NA,NA,NA,NA,14.662778,26393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000556,0.000000,0.106028,
4,cube0,13.470555,24247,0.138528,0.143917,0.119083,0.001972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,17.281111,31106,0.009333,0.003194,0.000306,0.005833,0.000000,0.041778,0.001722,0.132472,
4,vector1,NA,NA,NA,NA,NA,NA,15.376667,27678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000583,0.000000,0.105917,
5,cube0,13.438889,24190,0.123222,0.129194,0.095972,0.001972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,14.621667,26319,0.009333,0.003194,0.000306,0.005833,0.000000,0.020250,0.000000,0.127639,
5,vector1,NA,NA,NA,NA,NA,NA,14.587222,26257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000583,0.000000,0.105833,
