block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,16.448889,29608,1,129,2,521,3,521,0.769231,0.477555,0.509771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.723333,35502,2,50,357,7,361,7,3.846154,98.087433,91.836731,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.818333,32073,1,2,38,2,34,6,33.333332,90.000000,87.951805,
1,cube0,16.457777,29624,2,128,11,516,11,509,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.571112,31628,2,34,96,2,97,4,5.555555,96.984924,82.978722,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.043888,30679,1,2,38,0,34,1,33.333332,98.630135,96.052635,
2,cube0,15.665000,28197,2,128,13,512,9,513,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.975000,30555,2,34,99,1,104,0,5.555555,99.509804,85.416664,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.992777,30587,1,2,34,0,38,1,33.333332,98.630135,96.052635,
3,cube0,15.528889,27952,2,128,12,513,10,512,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.959999,30528,2,34,98,4,98,1,5.555555,97.512436,83.544304,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.990555,30583,1,2,37,1,34,1,33.333332,97.260277,94.736839,
4,cube0,16.014444,28826,1,129,4,521,2,520,0.769231,0.573066,0.594732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.565001,35217,2,50,360,2,364,1,3.846154,99.587349,93.196404,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.777779,32000,1,2,41,1,41,2,33.333332,96.470589,94.318184,
5,cube0,15.707778,28274,2,128,9,515,13,510,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.923334,30462,2,34,104,0,99,1,5.555555,99.509804,85.416664,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.006666,30612,1,2,34,0,46,1,33.333332,98.765434,96.428574,
6,cube0,15.752778,28355,2,128,11,513,11,512,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.922222,30460,2,34,105,1,95,0,5.555555,99.502487,85.232071,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.958334,30525,1,2,33,1,42,0,33.333332,98.684212,96.202530,
7,cube0,15.985000,28773,2,128,15,509,7,516,1.538462,2.101242,2.039083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.087223,30757,2,34,107,0,100,1,5.555555,99.519234,85.655739,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.888334,30399,1,2,40,0,34,1,33.333332,98.666664,96.153847,
8,cube0,7.027222,12649,1,65,2,0,3,1,1.515152,83.333336,8.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.838888,30310,1,2,47,2,54,0,33.333332,98.058250,96.226418,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.978333,30561,1,2,51,1,50,0,33.333332,99.019608,97.142860,
9,cube0,7.073333,12732,2,64,3,1,2,0,3.030303,83.333336,9.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.817778,30272,1,2,49,2,49,2,33.333332,96.078430,94.285713,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.838333,30309,1,2,54,0,51,1,33.333332,99.056602,97.247704,
10,cube0,7.442222,13396,2,64,3,1,2,0,3.030303,83.333336,9.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.788334,30219,1,2,49,1,51,0,33.333332,99.009903,97.115387,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.830555,30295,1,2,52,0,52,1,33.333332,99.047623,97.222221,
11,cube0,7.235556,13024,2,64,3,0,2,1,3.030303,83.333336,9.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.781666,30207,1,2,47,1,51,0,33.333332,98.989899,97.058823,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.840555,30313,1,2,53,1,48,0,33.333332,99.019608,97.142860,
12,cube0,7.517222,13531,1,65,2,0,3,1,1.515152,83.333336,8.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.787222,30217,1,2,49,0,53,1,33.333332,99.029129,97.169815,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.863333,30354,1,2,51,0,51,1,33.333332,99.029129,97.169815,
13,cube0,7.505000,13509,2,64,3,0,2,1,3.030303,83.333336,9.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.787222,30217,1,2,51,0,52,1,33.333332,99.038460,97.196259,
