block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,16.965000,30537,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,20.388889,36700,9.662676,16.802883,0.003814,0.008264,
0,vector1,NA,NA,18.472221,33250,0.142397,5.390756,0.003814,0.002543,
1,cube0,16.263334,29274,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,17.747778,31946,4.068495,8.991374,0.003814,0.008264,
1,vector1,NA,NA,17.735001,31923,0.142397,5.390756,0.003814,0.002543,
2,cube0,16.492222,29686,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,17.766666,31980,4.068495,8.991374,0.003814,0.008264,
2,vector1,NA,NA,17.711111,31880,0.142397,5.390756,0.003814,0.002543,
3,cube0,16.363333,29454,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,17.643333,31758,4.068495,8.991374,0.003814,0.008264,
3,vector1,NA,NA,17.654444,31778,0.142397,5.390756,0.003814,0.002543,
4,cube0,16.458334,29625,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,20.257223,36463,9.662676,16.802883,0.003814,0.008264,
4,vector1,NA,NA,18.451666,33213,0.142397,5.390756,0.003814,0.002543,
5,cube0,15.851666,28533,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,17.618334,31713,4.068495,8.991374,0.003814,0.008264,
5,vector1,NA,NA,17.661667,31791,0.142397,5.390756,0.003814,0.002543,
6,cube0,15.958889,28726,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,17.616667,31710,4.068495,8.991374,0.003814,0.008264,
6,vector1,NA,NA,17.606667,31692,0.142397,5.390756,0.003814,0.002543,
7,cube0,15.602777,28085,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,17.557222,31603,4.068495,8.991374,0.003814,0.008264,
7,vector1,NA,NA,17.587223,31657,0.142397,5.390756,0.003814,0.002543,
8,cube0,6.285555,11314,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,17.537222,31567,0.142397,5.390756,0.003814,0.002543,
8,vector1,NA,NA,17.551666,31593,0.142397,5.390756,0.003814,0.002543,
9,cube0,6.837778,12308,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,17.500000,31500,0.142397,5.390756,0.003814,0.002543,
9,vector1,NA,NA,17.533333,31560,0.142397,5.390756,0.003814,0.002543,
10,cube0,7.015000,12627,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,17.485556,31474,0.142397,5.390756,0.003814,0.002543,
10,vector1,NA,NA,17.541111,31574,0.142397,5.390756,0.003814,0.002543,
11,cube0,7.202778,12965,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,17.490555,31483,0.142397,5.390756,0.003814,0.002543,
11,vector1,NA,NA,17.541111,31574,0.142397,5.390756,0.003814,0.002543,
12,cube0,6.869444,12365,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,17.489445,31481,0.142397,5.390756,0.003814,0.002543,
12,vector1,NA,NA,17.497778,31496,0.142397,5.390756,0.003814,0.002543,
13,cube0,6.852778,12335,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,17.460556,31429,0.142397,5.390756,0.003814,0.002543,
13,vector1,NA,NA,17.468889,31444,0.142397,5.390756,0.003814,0.002543,
14,cube0,7.059444,12707,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,17.469444,31445,0.142397,5.390756,0.003814,0.002543,
14,vector1,NA,NA,17.461111,31430,0.142397,5.390756,0.003814,0.002543,
15,cube0,7.130556,12835,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,17.467222,31441,0.142397,5.390756,0.003814,0.002543,
15,vector1,NA,NA,17.452223,31414,0.142397,5.390756,0.003814,0.002543,
16,cube0,7.552222,13594,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,17.452223,31414,0.142397,5.390756,0.003814,0.002543,
16,vector1,NA,NA,17.457222,31423,0.142397,5.390756,0.003814,0.002543,
17,cube0,7.294445,13130,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,17.456667,31422,0.142397,5.390756,0.003814,0.002543,
17,vector1,NA,NA,17.447222,31405,0.142397,5.390756,0.003814,0.002543,
18,cube0,7.131667,12837,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,17.447222,31405,0.142397,5.390756,0.003814,0.002543,
18,vector1,NA,NA,17.418333,31353,0.142397,5.390756,0.003814,0.002543,
19,cube0,7.263333,13074,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,17.401667,31323,0.142397,5.390756,0.003814,0.002543,
19,vector1,NA,NA,17.414444,31346,0.142397,5.390756,0.003814,0.002543,
