block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,14.107778,25394,1.500343,0.750171,6.001370,6.001370,0.000000,1.500343,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.495556,31492,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,15.567223,28021,
1,cube0,14.012222,25222,1.500343,0.750171,6.001370,6.001370,0.000000,1.500343,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.192223,27346,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.781667,26607,
2,cube0,14.002222,25204,1.500343,0.750171,6.001370,6.001370,0.000000,1.500343,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.409445,27737,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.756667,26562,
3,cube0,13.857778,24944,1.500343,0.750171,6.001370,6.001370,0.000000,1.500343,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.025000,27045,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.687222,26437,
4,cube0,13.530556,24355,1.500343,0.750171,6.001370,6.001370,0.000000,1.500343,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,17.417223,31351,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,15.480556,27865,
5,cube0,13.356667,24042,1.500343,0.750171,6.001370,6.001370,0.000000,1.500343,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.749444,26549,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.682222,26428,
6,cube0,13.803333,24846,1.500343,0.750171,6.001370,6.001370,0.000000,1.500343,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.694445,26450,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.645000,26361,
7,cube0,12.768333,22983,1.500343,0.750171,6.001370,6.001370,0.000000,1.500343,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.671667,26409,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.622222,26320,
8,cube0,4.207778,7574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.633333,26340,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.580556,26245,
9,cube0,5.628889,10132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.611667,26301,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.563334,26214,
10,cube0,5.757222,10363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.620556,26317,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.567778,26222,
11,cube0,5.821667,10479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.659445,26387,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.566112,26219,
12,cube0,6.613333,11904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.572222,26230,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.536667,26166,
13,cube0,5.967222,10741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.542778,26177,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.543333,26178,
14,cube0,6.304444,11348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.572778,26231,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.543333,26178,
15,cube0,6.954444,12518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.528334,26151,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.527223,26149,
16,cube0,6.936666,12486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.531667,26157,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.531667,26157,
17,cube0,6.659444,11987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.523334,26142,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.523334,26142,
18,cube0,6.817222,12271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.496667,26094,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.477222,26059,
19,cube0,6.618333,11913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.505000,26109,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,14.475000,26055,
