block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,14.107778,25394,0.237778,0.011889,0.683889,0.034194,3.173333,0.158667,1.270000,0.063500,25.531439,3.645000,0.182250,8.372450,0.000000,6.841111,0.342056,0.168333,0.431111,0.000000,0.000000,0.000000,0.000000,0.093333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.396667,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.495556,31492,4.223889,0.211194,2.436111,0.121806,31.464725,0.570000,0.028500,42.036961,0.067970,7.760556,0.388028,0.321111,0.684444,0.000000,0.000000,0.000000,0.002778,0.569444,2.267778,NA,4.223889,0.268333,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.567223,28021,2.204444,0.110222,2.622778,0.131139,0.090903,0.111667,0.005583,8.540367,0.112738,7.698889,0.384944,0.192222,0.375556,0.000000,0.000000,0.000000,0.000000,2.777778,3.230000,NA,3.605556,1.064444,
1,cube0,14.012222,25222,0.237778,0.011889,0.686111,0.034306,2.862222,0.143111,2.810000,0.140500,11.539121,3.340556,0.167028,9.135479,0.000000,9.712222,0.485611,0.168333,0.438333,0.000000,0.000000,0.000000,0.000000,0.125000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.161111,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.192223,27346,3.015556,0.150778,3.001111,0.150056,5.203545,0.393889,0.019694,41.462639,0.074268,6.086111,0.304306,0.282778,0.591111,0.000000,0.000000,0.000000,0.001667,2.842222,2.617778,NA,3.780000,0.482778,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.781667,26607,2.204444,0.110222,0.813889,0.040694,0.292938,0.126111,0.006306,7.562175,0.119225,8.948889,0.447444,0.175000,0.355000,0.000000,0.000000,0.000000,0.000000,2.959445,3.381111,NA,3.656111,1.135556,
2,cube0,14.002222,25204,0.237778,0.011889,0.689444,0.034472,2.480556,0.124028,2.033333,0.101667,15.946686,2.970000,0.148500,10.275278,0.000000,9.822778,0.491139,0.167778,0.446111,0.000000,0.000000,0.000000,0.000000,0.112222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.729445,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.409445,27737,3.015556,0.150778,0.946667,0.047333,16.496216,0.413333,0.020667,39.512112,0.068750,9.712222,0.485611,0.287222,0.595556,0.000000,0.000000,0.000000,0.000000,2.517778,3.571667,NA,3.454444,1.504444,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.756667,26562,2.204444,0.110222,0.436667,0.021833,0.545997,0.136111,0.006806,7.006587,0.040519,9.683333,0.484167,0.179444,0.359444,0.000000,0.000000,0.000000,0.000000,0.628889,3.137222,NA,3.388889,2.584445,
3,cube0,13.857778,24944,0.237778,0.011889,0.688889,0.034444,2.691111,0.134556,3.252222,0.162611,9.970083,3.145555,0.157278,9.701809,0.000000,7.235556,0.361778,0.167222,0.453889,0.000000,0.000000,0.000000,0.000000,0.121111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.116111,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.025000,27045,3.015556,0.150778,0.437222,0.021861,35.717346,0.390000,0.019500,41.876083,0.077240,10.077778,0.503889,0.286667,0.602778,0.000000,0.000000,0.000000,0.035556,0.692778,3.278333,NA,7.389444,1.553333,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.687222,26437,2.204444,0.110222,1.867222,0.093361,0.127686,0.114444,0.005722,8.333076,0.115160,3.632222,0.181611,0.175556,0.368333,0.000000,0.000000,0.000000,0.000000,3.555556,1.956667,NA,3.481111,2.752778,
4,cube0,13.530556,24355,0.237778,0.011889,0.672778,0.033639,3.037778,0.151889,2.371111,0.118556,13.674993,3.487778,0.174389,8.749863,0.000000,11.830556,0.591528,0.172222,0.477222,0.000000,0.000000,0.000000,0.000000,0.103889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.866667,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.417223,31351,4.223889,0.211194,2.293333,0.114667,33.423653,0.603333,0.030167,39.714474,0.067854,5.886111,0.294306,0.330556,0.724444,0.000000,0.000000,0.000000,0.032778,3.776111,1.881667,NA,6.369444,1.251111,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.480556,27865,2.204444,0.110222,1.868333,0.093417,0.127610,0.125000,0.006250,7.629395,0.101183,5.207778,0.260389,0.196667,0.417778,0.000000,0.000000,0.000000,0.000000,2.885556,2.058333,NA,6.130000,2.212222,
5,cube0,13.356667,24042,0.237778,0.011889,0.683889,0.034194,2.698889,0.134944,1.418333,0.070917,22.861288,3.137222,0.156861,9.727578,0.000000,10.132222,0.506611,0.172778,0.483889,0.000000,0.000000,0.000000,0.000000,0.139444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.177778,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.749444,26549,3.015556,0.150778,1.976111,0.098806,7.902602,0.445556,0.022278,36.654625,0.067568,4.873889,0.243694,0.290000,0.632222,0.000000,0.000000,0.000000,0.001111,3.357222,2.162222,NA,6.953333,1.242222,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.682222,26428,2.204444,0.110222,2.356111,0.117806,0.101192,0.111667,0.005583,8.540367,0.107527,4.560555,0.228028,0.182778,0.395556,0.000000,0.000000,0.000000,0.000000,3.368333,2.172778,NA,5.997778,2.265000,
