block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,5009.203125,9016566,8.727446,4.488725,34.909782,5.818297,0.954564,8.727446,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.886665,68196,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.861111,68150,
1,cube0,5070.015625,9126028,8.727446,4.443270,34.909782,5.818297,0.636376,8.727446,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.861111,68150,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.840000,68112,
2,cube0,5006.987305,9012577,8.727446,4.454634,34.909782,5.818297,0.727287,8.727446,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.826111,68087,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.779446,68003,
3,cube0,4991.713867,8985085,8.727446,4.454634,34.909782,5.818297,0.772743,8.727446,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.772778,67991,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.776112,67997,
4,cube0,5003.514648,9006326,8.727446,4.465998,34.909782,5.818297,0.818198,8.727446,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.723888,67903,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.755554,67960,
5,cube0,5001.793945,9003229,8.727446,4.477362,34.909782,5.818297,0.818198,8.727446,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.707222,67873,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.732777,67919,
6,cube0,5038.730469,9069715,8.727446,4.465998,34.909782,5.818297,0.863653,8.727446,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.684444,67832,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.710556,67879,
7,cube0,5021.321289,9038378,8.727446,4.431906,34.909782,5.818297,0.590921,8.727446,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.668888,67804,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.696110,67853,
8,cube0,4939.958496,8891925,8.727446,4.443270,34.909782,5.818297,0.636376,8.727446,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.652222,67774,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.639446,67751,
9,cube0,4937.628418,8887731,8.727446,4.454634,34.909782,5.818297,0.772743,8.727446,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.596668,67674,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.618332,67713,
10,cube0,5022.988281,9041379,8.727446,4.443270,34.909782,5.818297,0.681832,8.727446,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.592777,67667,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.639999,67752,
11,cube0,4958.317871,8924972,8.727446,4.465998,34.909782,5.818297,0.772743,8.727446,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.604443,67688,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.597778,67676,
12,cube0,4921.288574,8858319,8.727446,4.454634,34.909782,5.818297,0.772743,8.727446,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.584446,67652,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.583889,67651,
13,cube0,4941.750488,8895151,8.727446,4.465998,34.909782,5.818297,0.863653,8.727446,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.566666,67620,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.575554,67636,
14,cube0,5018.932129,9034078,8.727446,4.477362,34.909782,5.818297,0.909109,8.727446,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.551109,67592,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.580002,67644,
15,cube0,5033.815918,9060869,8.727446,4.454634,34.909782,5.818297,0.681832,8.727446,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.574444,67634,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.582779,67649,
16,cube0,5025.658691,9046186,8.727446,4.465998,34.909782,5.818297,0.818198,8.727446,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.557220,67603,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.534443,67562,
17,cube0,4995.272461,8991490,8.727446,4.477362,34.909782,5.818297,0.863653,8.727446,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.532776,67559,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.523335,67542,
18,cube0,4986.061035,8974910,8.727446,4.465998,34.909782,5.818297,0.818198,8.727446,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.533890,67561,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.529446,67553,
19,cube0,4996.471680,8993649,8.727446,4.465998,34.909782,5.818297,0.818198,8.727446,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.511665,67521,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,37.506668,67512,
