block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aic_scalar_wait_id10_time(us),aic_scalar_wait_id2_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,5009.203125,9016566,1.802222,0.043957,1.726111,0.042100,4919.229492,119.981209,4.768889,0.116314,6.799263,8.897778,0.217019,41.157574,0.099384,66.963333,1.633252,20.517221,21.154444,4.218889,4438.027832,0.000000,0.205556,2.653333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.310556,0.007778,0.015556,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.886665,68196,6.745000,0.164512,6.971111,0.170027,35.192768,0.592222,0.014444,6.642619,0.101990,5.827222,0.142127,0.557222,1.402222,0.000000,0.000000,0.000000,4.027778,16.474445,0.763889,NA,NA,NA,10.905556,1.003333,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.861111,68150,4.479445,0.109255,6.385556,0.155745,19.228643,0.392222,0.009566,6.686527,0.128248,6.323333,0.154228,0.382222,0.938889,0.000000,0.000000,0.000000,2.555000,8.236667,0.896667,NA,NA,NA,12.575556,4.143333,
1,cube0,5070.015625,9126028,1.802222,0.043957,1.719444,0.041938,4981.011719,121.488091,4.769444,0.116328,6.798470,8.698334,0.212154,42.101276,0.087191,68.223335,1.663984,20.514444,21.171667,3.824445,4490.126465,0.000000,0.214444,1.595000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.413334,0.005556,0.011111,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.861111,68150,6.742222,0.164444,5.809444,0.141694,42.229977,1.152778,0.028117,3.826187,0.092593,7.750000,0.189024,0.562778,1.425556,0.000000,0.000000,0.000000,4.108333,12.611667,1.073333,NA,NA,NA,10.515000,1.243889,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.840000,68112,4.480000,0.109268,4.491111,0.109539,27.339685,0.400556,0.009770,6.845027,0.119617,7.287222,0.177737,0.387222,0.962778,0.000000,0.000000,0.000000,3.135556,13.844444,1.023889,NA,NA,NA,7.800000,6.022222,
2,cube0,5006.987305,9012577,1.802222,0.043957,1.736667,0.042358,4917.762695,119.945435,4.658889,0.113631,6.959798,8.125000,0.198171,45.072117,0.075949,66.780556,1.628794,21.186111,21.861111,3.931667,4559.085938,0.000000,0.205556,2.039444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.212223,0.006111,0.012222,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.826111,68087,6.742778,0.164458,5.720556,0.139526,42.886169,0.527222,0.012859,8.139896,0.083822,7.649445,0.186572,0.570556,1.445556,0.000000,0.000000,0.000000,4.168334,14.368889,0.412222,NA,NA,NA,9.746667,4.110000,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.779446,68003,4.480000,0.109268,4.942222,0.120542,24.844204,0.423889,0.010339,5.343326,0.117917,6.681667,0.162967,0.379444,0.990556,0.000000,0.000000,0.000000,3.252222,13.324445,0.994444,NA,NA,NA,11.205556,6.109445,
3,cube0,4991.713867,8985085,1.802222,0.043957,1.715000,0.041829,4904.464844,119.621094,4.565000,0.111341,7.102941,8.299444,0.202425,44.124752,0.080727,71.148888,1.735339,21.157223,21.848333,3.921667,4531.900879,0.000000,0.205556,2.085556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.333334,0.006111,0.012222,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.772778,67991,6.742778,0.164458,7.350000,0.179268,33.378601,1.483333,0.036179,2.973535,0.086505,7.288889,0.177778,0.570556,1.468333,0.000000,0.000000,0.000000,3.256111,14.392222,0.577778,NA,NA,NA,9.112778,0.257778,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.776112,67997,4.480000,0.109268,4.580000,0.111707,26.809078,0.468333,0.011423,5.854406,0.113755,6.563334,0.160081,0.385000,1.010556,0.000000,0.000000,0.000000,2.131667,15.272223,0.897778,NA,NA,NA,7.648889,5.106667,
4,cube0,5003.514648,9006326,1.802222,0.043957,1.731667,0.042236,4916.312012,119.910057,4.663333,0.113740,6.953166,11.649445,0.284133,31.435915,0.081487,70.843330,1.727886,21.112778,21.821667,3.451111,4532.202148,0.000000,0.205556,2.968889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.365556,0.006667,0.013333,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.723888,67903,6.733333,0.164228,6.292222,0.153469,38.989838,0.720000,0.017561,6.126033,0.080518,6.996666,0.170650,0.567222,1.492778,0.000000,0.000000,0.000000,5.691667,8.286111,0.302222,NA,NA,NA,8.793333,3.801111,
