block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,4310.250000,7758450,1.802222,0.043957,1.725000,0.042073,4227.723145,103.115204,4.951111,0.120759,NA,9.292778,0.226653,NA,0.052874,60.503334,1.475691,21.256111,21.895555,3.395555,4507.288574,0.000000,0.214444,1.327778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.356667,67242,6.745000,0.164512,4.943333,0.120569,NA,0.614444,0.014986,NA,0.101124,10.636666,0.259431,0.556111,1.403333,0.000000,0.000000,0.000000,3.013889,13.623333,1.264444,0.743889,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.299446,67139,4.480000,0.109268,3.730000,0.090976,NA,0.341111,0.008320,NA,0.127319,5.463889,0.133266,0.379444,0.940556,0.000000,0.000000,0.000000,2.663889,13.583889,0.673889,3.847222,
1,cube0,4312.821289,7763078,1.802222,0.043957,1.725000,0.042073,4233.903809,103.265945,4.915555,0.119892,NA,8.622778,0.210312,NA,0.045350,59.833332,1.459350,21.221111,21.872223,4.663889,4497.807617,0.000000,0.214444,3.030555,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.296112,67133,6.738889,0.164363,8.255555,0.201355,NA,0.613333,0.014959,NA,0.092097,7.428333,0.181179,0.565000,1.424444,0.000000,0.000000,0.000000,3.739444,11.486111,0.863333,2.568333,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.287777,67118,4.467222,0.108957,5.675556,0.138428,NA,0.453333,0.011057,NA,0.121590,6.823333,0.166423,0.386667,0.962778,0.000000,0.000000,0.000000,2.667222,9.749444,1.016667,7.482778,
2,cube0,4384.187012,7891537,1.802222,0.043957,1.725556,0.042087,4301.944336,104.925476,4.846111,0.118198,NA,10.783889,0.263022,NA,0.043807,61.730000,1.505610,21.217222,21.895000,4.211667,4576.382812,0.000000,0.205556,2.213889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.233334,67020,6.742778,0.164458,5.719444,0.139499,NA,0.423333,0.010325,NA,0.088014,9.577222,0.233591,0.570000,1.445556,0.000000,0.000000,0.000000,3.521111,13.227777,1.177778,0.496111,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.268333,67083,4.480000,0.109268,4.481667,0.109309,NA,0.385000,0.009390,NA,0.118271,6.780000,0.165366,0.393889,0.983333,0.000000,0.000000,0.000000,2.517778,12.989445,0.695556,2.797778,
3,cube0,4321.647949,7778966,1.802222,0.043957,1.718333,0.041911,4241.666504,103.455284,5.300000,0.129268,NA,10.182777,0.248360,NA,0.042367,61.762779,1.506409,21.189444,21.883888,4.021111,4509.252441,0.000000,0.205556,2.865556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
