block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,23.924444,43064,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.261667,49071,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.289444,49121,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
1,cube0,25.753889,46357,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.229445,49013,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.256111,49061,0.144104,0.057133,0.000000,0.001201,0.000000,0.057724,101984,
2,cube0,25.809444,46457,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.203888,48967,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.241112,49034,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
3,cube0,23.230000,41814,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.196112,48953,0.217097,0.096111,0.000000,0.001380,0.000000,0.072455,185920,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.225000,49005,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
4,cube0,23.825556,42886,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.182222,48928,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.166666,48900,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
5,cube0,23.943333,43098,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.128334,48831,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.135000,48843,0.144104,0.057133,0.000000,0.001201,0.000000,0.057724,101984,
6,cube0,22.456112,40421,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.111111,48800,0.217097,0.096111,0.000000,0.001380,0.000000,0.072455,185920,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.136110,48845,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
7,cube0,22.648333,40767,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.102777,48785,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.076111,48737,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
8,cube0,23.929445,43073,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.057777,48704,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.038889,48670,0.144104,0.057133,0.000000,0.001201,0.000000,0.057724,101984,
9,cube0,23.756666,42762,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.022223,48640,0.217097,0.096111,0.000000,0.001380,0.000000,0.072455,185920,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.027779,48650,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
10,cube0,23.924999,43065,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.004444,48608,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.033333,48660,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
11,cube0,25.451111,45812,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.026112,48647,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.043333,48678,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
12,cube0,25.690001,46242,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.014999,48627,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.983889,48571,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
13,cube0,25.440001,45792,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.983889,48571,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.976667,48558,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
14,cube0,26.884445,48392,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.987223,48577,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.982779,48569,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
15,cube0,25.232222,45418,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.963888,48535,0.216882,0.096022,0.000000,0.001362,0.000000,0.072384,185920,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.962223,48532,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
16,cube0,26.500555,47701,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.976110,48557,0.217097,0.096111,0.000000,0.001380,0.000000,0.072455,185920,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.975555,48556,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
17,cube0,26.469999,47646,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.977222,48559,0.217097,0.096111,0.000000,0.001380,0.000000,0.072455,185920,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.978333,48561,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
18,cube0,26.452778,47615,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.021111,48638,0.217097,0.096111,0.000000,0.001380,0.000000,0.072455,185920,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.927778,48470,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
19,cube0,26.193333,47148,0.058136,0.058136,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.923334,48462,0.217097,0.096111,0.000000,0.001380,0.000000,0.072455,185920,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.939444,48491,0.143889,0.057043,0.000000,0.001201,0.000000,0.057652,101984,
