block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,23.924444,43064,2,832,4,705,5,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.261667,49071,7,6,1036,3,1039,3,53.846153,99.711678,99.426933,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.289444,49121,2,6,529,0,523,1,25.000000,99.905037,99.340248,
1,cube0,25.753889,46357,1,833,4,705,4,705,0.119904,0.564175,0.399645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.229445,49013,8,6,1041,0,1039,1,57.142857,99.951942,99.665871,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.256111,49061,4,5,518,0,533,2,44.444443,99.810066,99.340866,
2,cube0,25.809444,46457,2,832,4,706,5,703,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.203888,48967,7,6,1048,0,1032,1,53.846153,99.951942,99.665710,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.241112,49034,3,5,526,0,526,1,37.500000,99.905037,99.434494,
3,cube0,23.230000,41814,2,832,3,704,5,706,0.239808,0.564175,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.196112,48953,7,7,1038,2,1041,0,50.000000,99.903893,99.570404,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.225000,49005,5,4,527,0,524,2,55.555557,99.810066,99.435028,
4,cube0,23.825556,42886,2,832,4,705,5,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.182222,48928,7,7,1039,1,1041,0,50.000000,99.951942,99.618141,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.166666,48900,4,5,520,2,531,0,44.444443,99.810066,99.340866,
5,cube0,23.943333,43098,2,832,5,704,4,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.128334,48831,8,6,1044,1,1036,0,57.142857,99.951942,99.665871,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.135000,48843,2,6,526,0,526,1,25.000000,99.905037,99.340248,
6,cube0,22.456112,40421,2,832,3,705,3,707,0.239808,0.423131,0.355240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.111111,48800,7,6,1038,2,1041,0,53.846153,99.903893,99.617958,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.136110,48845,5,4,523,2,526,2,55.555557,99.620132,99.246704,
7,cube0,22.648333,40767,1,833,4,705,5,704,0.119904,0.634697,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.102777,48785,7,7,1044,0,1036,1,50.000000,99.951942,99.618141,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.076111,48737,2,6,529,1,523,0,25.000000,99.905037,99.340248,
8,cube0,23.929445,43073,2,832,3,706,5,704,0.239808,0.564175,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.057777,48704,10,5,1036,1,1044,0,66.666664,99.951942,99.713737,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.038889,48670,3,5,527,1,524,1,37.500000,99.810066,99.340248,
9,cube0,23.756666,42762,1,833,5,705,4,704,0.119904,0.634697,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.022223,48640,7,7,1039,0,1041,1,50.000000,99.951942,99.618141,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.027779,48650,4,5,526,1,525,1,44.444443,99.810066,99.340866,
10,cube0,23.924999,43065,2,832,5,705,4,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.004444,48608,7,6,1041,0,1039,1,53.846153,99.951942,99.665710,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.033333,48660,1,6,521,1,530,1,14.285714,99.810066,99.245285,
11,cube0,25.451111,45812,2,832,7,704,2,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.026112,48647,8,6,1044,1,1036,0,57.142857,99.951942,99.665871,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.043333,48678,4,5,523,1,529,0,44.444443,99.905037,99.435028,
12,cube0,25.690001,46242,2,832,5,704,4,705,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.014999,48627,8,6,1042,1,1037,1,57.142857,99.903893,99.618141,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.983889,48571,4,5,524,1,528,0,44.444443,99.905037,99.435028,
13,cube0,25.440001,45792,2,832,4,705,4,705,0.239808,0.564175,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.983889,48571,8,6,1041,0,1039,1,57.142857,99.951942,99.665871,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.976667,48558,3,5,525,0,527,1,37.500000,99.905037,99.434494,
14,cube0,26.884445,48392,2,832,4,705,5,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.987223,48577,7,7,1040,1,1039,1,50.000000,99.903893,99.570404,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.982779,48569,4,4,520,1,531,1,50.000000,99.810066,99.434494,
15,cube0,25.232222,45418,1,833,4,705,5,704,0.119904,0.634697,0.444050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.963888,48535,7,7,1044,0,1036,1,50.000000,99.951942,99.618141,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.962223,48532,2,6,527,0,525,1,25.000000,99.905037,99.340248,
16,cube0,26.500555,47701,1,833,4,705,4,705,0.119904,0.564175,0.399645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.976110,48557,8,6,1040,0,1040,1,57.142857,99.951942,99.665871,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.975555,48556,5,4,516,0,535,2,55.555557,99.810066,99.435028,
17,cube0,26.469999,47646,2,832,3,703,6,706,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.977222,48559,7,7,1051,0,1029,1,50.000000,99.951942,99.618141,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.978333,48561,5,4,516,1,536,0,55.555557,99.905037,99.529190,
18,cube0,26.452778,47615,2,832,5,705,4,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.021111,48638,7,7,1050,0,1029,2,50.000000,99.903893,99.570404,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.927778,48470,2,6,514,1,538,0,25.000000,99.905037,99.340248,
19,cube0,26.193333,47148,2,832,5,705,4,704,0.239808,0.634697,0.488455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.923334,48462,7,6,1050,2,1029,0,53.846153,99.903893,99.617958,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.939444,48491,4,5,527,1,525,0,44.444443,99.905037,99.435028,
