block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,23.924444,43064,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,27.261667,49071,33.664635,26.874367,0.002829,0.001886,
0,vector1,NA,NA,27.289444,49121,16.885132,15.436540,0.002829,0.001886,
1,cube0,25.753889,46357,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,27.229445,49013,33.664635,26.874367,0.002829,0.001886,
1,vector1,NA,NA,27.256111,49061,16.885132,15.436540,0.002829,0.001886,
2,cube0,25.809444,46457,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,27.203888,48967,33.664635,26.874367,0.002829,0.001886,
2,vector1,NA,NA,27.241112,49034,16.885132,15.436540,0.002829,0.001886,
3,cube0,23.230000,41814,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,27.196112,48953,33.664635,26.874367,0.002829,0.001886,
3,vector1,NA,NA,27.225000,49005,16.885132,15.436540,0.002829,0.001886,
4,cube0,23.825556,42886,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,27.182222,48928,33.664635,26.874367,0.002829,0.001886,
4,vector1,NA,NA,27.166666,48900,16.885132,15.436540,0.002829,0.001886,
5,cube0,23.943333,43098,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,27.128334,48831,33.664635,26.874367,0.002829,0.001886,
5,vector1,NA,NA,27.135000,48843,16.885132,15.436540,0.002829,0.001886,
6,cube0,22.456112,40421,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,27.111111,48800,33.664635,26.874367,0.002829,0.001886,
6,vector1,NA,NA,27.136110,48845,16.885132,15.436540,0.002829,0.001886,
7,cube0,22.648333,40767,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,27.102777,48785,33.664635,26.874367,0.002829,0.001886,
7,vector1,NA,NA,27.076111,48737,16.885132,15.436540,0.002829,0.001886,
8,cube0,23.929445,43073,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,27.057777,48704,33.664635,26.874367,0.002829,0.001886,
8,vector1,NA,NA,27.038889,48670,16.885132,15.436540,0.002829,0.001886,
9,cube0,23.756666,42762,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,27.022223,48640,33.664635,26.874367,0.002829,0.001886,
9,vector1,NA,NA,27.027779,48650,16.885132,15.436540,0.002829,0.001886,
10,cube0,23.924999,43065,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,27.004444,48608,33.664635,26.874367,0.002829,0.001886,
10,vector1,NA,NA,27.033333,48660,16.885132,15.436540,0.002829,0.001886,
11,cube0,25.451111,45812,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,27.026112,48647,33.664635,26.874367,0.002829,0.001886,
11,vector1,NA,NA,27.043333,48678,16.885132,15.436540,0.002829,0.001886,
12,cube0,25.690001,46242,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,27.014999,48627,33.664635,26.874367,0.002829,0.001886,
12,vector1,NA,NA,26.983889,48571,16.885132,15.436540,0.002829,0.001886,
13,cube0,25.440001,45792,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,26.983889,48571,33.664635,26.874367,0.002829,0.001886,
13,vector1,NA,NA,26.976667,48558,16.885132,15.436540,0.002829,0.001886,
14,cube0,26.884445,48392,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,26.987223,48577,33.664635,26.874367,0.002829,0.001886,
14,vector1,NA,NA,26.982779,48569,16.885132,15.436540,0.002829,0.001886,
15,cube0,25.232222,45418,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,26.963888,48535,33.664635,26.874367,0.002829,0.001886,
15,vector1,NA,NA,26.962223,48532,16.885132,15.436540,0.002829,0.001886,
16,cube0,26.500555,47701,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,26.976110,48557,33.664635,26.874367,0.002829,0.001886,
16,vector1,NA,NA,26.975555,48556,16.885132,15.436540,0.002829,0.001886,
17,cube0,26.469999,47646,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,26.977222,48559,33.664635,26.874367,0.002829,0.001886,
17,vector1,NA,NA,26.978333,48561,16.885132,15.436540,0.002829,0.001886,
18,cube0,26.452778,47615,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,27.021111,48638,33.664635,26.874367,0.002829,0.001886,
18,vector1,NA,NA,26.927778,48470,16.885132,15.436540,0.002829,0.001886,
19,cube0,26.193333,47148,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,26.923334,48462,33.664635,26.874367,0.002829,0.001886,
19,vector1,NA,NA,26.939444,48491,16.885132,15.436540,0.002829,0.001886,
