block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,24.397223,43915,1.802222,0.058136,1.714444,0.055305,5.967778,0.192509,2.415000,0.077903,13.426471,7.113889,0.229480,51.478306,0.000000,13.141666,0.423925,0.262222,0.912222,3.054445,0.000000,0.000000,0.205556,0.145556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.642777,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.855000,48339,6.723333,0.216882,2.553889,0.082384,96.062408,0.599444,0.019337,6.562587,0.015738,10.190556,0.328728,0.532778,1.413333,0.000000,0.000000,0.000000,2.016111,0.494444,0.663333,NA,8.998333,2.750000,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.877222,48379,4.460556,0.143889,2.947778,0.095090,41.653606,0.386667,0.012473,6.782598,0.016594,7.711667,0.248763,0.361111,0.949444,0.000000,0.000000,0.000000,0.985556,1.831111,1.547222,NA,8.123889,5.433889,
1,cube0,25.918333,46653,1.802222,0.058136,1.721667,0.055538,6.035555,0.194695,1.373333,0.044301,23.610386,7.167222,0.231201,51.095242,0.000000,9.635000,0.310806,0.268333,0.935000,3.103333,0.000000,0.000000,0.205556,0.120000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.588333,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.825001,48285,6.730000,0.217097,3.834445,0.123692,63.981293,0.691667,0.022312,6.376979,0.012117,8.901667,0.287151,0.541667,1.435000,0.000000,0.000000,0.000000,2.246667,3.146667,1.457778,NA,8.019444,1.092778,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.858889,48346,4.460556,0.143889,2.023889,0.065287,60.668137,0.391667,0.012634,7.000375,0.016020,7.830000,0.252581,0.369444,0.971111,0.000000,0.000000,0.000000,0.972222,4.330555,1.016667,NA,7.915000,4.311111,
2,cube0,26.087778,46958,1.802222,0.058136,1.726111,0.055681,5.968333,0.192527,3.439445,0.110950,9.427372,7.084445,0.228530,51.692257,0.000000,11.725000,0.378226,0.274444,0.956667,3.500556,0.000000,0.000000,0.205556,0.124444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.821667,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.815556,48268,6.730000,0.217097,3.749444,0.120950,65.431755,0.548889,0.017706,7.818586,0.011831,8.550555,0.275824,0.548333,1.455000,0.000000,0.000000,0.000000,2.251111,4.492778,0.977778,NA,7.895555,1.010556,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.843334,48318,4.460556,0.143889,1.818889,0.058674,67.505814,0.362778,0.011703,6.243427,0.018197,7.614444,0.245627,0.373889,0.992222,0.000000,0.000000,0.000000,1.047222,4.855000,0.893889,NA,7.863333,4.409444,
3,cube0,26.472221,47650,1.802222,0.058136,1.721667,0.055538,6.134444,0.197885,1.212778,0.039122,26.736082,7.286111,0.235036,50.261513,0.000000,14.848333,0.478978,0.278889,0.978889,2.999444,0.000000,0.000000,0.205556,0.136667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.156111,NA,NA,
