block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,24.397223,43915,0.212706,0.218065,0.061129,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,26.855000,48339,0.049964,0.030753,0.011685,0.007527,0.000000,0.049749,0.011147,0.068208,
0,vector1,NA,NA,NA,NA,NA,NA,26.877222,48379,0.024982,0.015376,0.005842,0.003763,0.000000,0.027401,0.005573,0.068226,
1,cube0,25.918333,46653,0.213907,0.219391,0.055520,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,26.825001,48285,0.049964,0.030753,0.011685,0.007527,0.000000,0.064032,0.011147,0.068208,
1,vector1,NA,NA,NA,NA,NA,NA,26.858889,48346,0.024982,0.015376,0.005842,0.003763,0.000000,0.026953,0.005573,0.068226,
2,cube0,26.087778,46958,0.211631,0.216900,0.062796,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,26.815556,48268,0.049964,0.030753,0.011685,0.007527,0.000000,0.066541,0.011147,0.068226,
2,vector1,NA,NA,NA,NA,NA,NA,26.843334,48318,0.024982,0.015376,0.005842,0.003763,0.000000,0.028853,0.005573,0.068208,
3,cube0,26.472221,47650,0.217061,0.222545,0.063817,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,26.801111,48242,0.049964,0.030753,0.011685,0.007527,0.000000,0.074104,0.011147,0.068226,
3,vector1,NA,NA,NA,NA,NA,NA,26.786667,48216,0.024982,0.015376,0.005842,0.003763,0.000000,0.026792,0.005573,0.068226,
4,cube0,23.440556,42193,0.205789,0.211272,0.068387,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,26.748333,48147,0.049964,0.030753,0.011685,0.007527,0.000000,0.046631,0.011147,0.068190,
4,vector1,NA,NA,NA,NA,NA,NA,26.754999,48159,0.024982,0.015376,0.005842,0.003763,0.000000,0.029391,0.005573,0.068190,
5,cube0,24.019444,43235,0.198513,0.203996,0.054892,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,26.730556,48115,0.049964,0.030753,0.011685,0.007527,0.000000,0.047778,0.011147,0.068226,
5,vector1,NA,NA,NA,NA,NA,NA,26.752777,48155,0.024982,0.015376,0.005842,0.003763,0.000000,0.021165,0.005573,0.068226,
6,cube0,22.453333,40416,0.222437,0.227921,0.057437,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,26.718334,48093,0.049964,0.030753,0.011685,0.007527,0.000000,0.048943,0.011147,0.068226,
6,vector1,NA,NA,NA,NA,NA,NA,26.692778,48047,0.024982,0.015376,0.005842,0.003763,0.000000,0.037616,0.005573,0.068208,
7,cube0,22.837223,41107,0.226290,0.231774,0.058208,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,26.676111,48017,0.049964,0.030753,0.011685,0.007527,0.000000,0.047043,0.011147,0.068208,
7,vector1,NA,NA,NA,NA,NA,NA,26.667223,48001,0.024982,0.015376,0.005842,0.003763,0.000000,0.025179,0.005573,0.068190,
8,cube0,23.185556,41734,0.210305,0.215789,0.055000,0.001272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
