block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,28.950001,52110,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,36.862778,66353,63.825733,67.361076,0.002221,0.011474,
0,vector1,NA,NA,35.228889,63412,42.578125,45.953579,0.002221,0.008143,
1,cube0,29.291666,52725,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,31.047222,55885,54.125736,53.717125,0.002221,0.011474,
1,vector1,NA,NA,31.043333,55878,36.111458,36.857613,0.002221,0.008143,
2,cube0,28.291666,50925,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,36.783890,66211,63.825733,67.361076,0.002221,0.011474,
2,vector1,NA,NA,35.161667,63291,42.578125,45.953579,0.002221,0.008143,
3,cube0,29.418888,52954,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,31.007778,55814,54.125736,53.717125,0.002221,0.011474,
3,vector1,NA,NA,31.004444,55808,36.111458,36.857613,0.002221,0.008143,
4,cube0,28.102222,50584,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,36.846111,66323,63.825733,67.361076,0.002221,0.011474,
4,vector1,NA,NA,35.123333,63222,42.578125,45.953579,0.002221,0.008143,
5,cube0,29.330000,52794,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,30.902779,55625,54.125736,53.717125,0.002221,0.011474,
5,vector1,NA,NA,30.894444,55610,36.111458,36.857613,0.002221,0.008143,
6,cube0,29.598333,53277,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,36.676109,66017,63.825733,67.361076,0.002221,0.011474,
6,vector1,NA,NA,35.069443,63125,42.578125,45.953579,0.002221,0.008143,
7,cube0,29.389444,52901,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,30.874445,55574,54.125736,53.717125,0.002221,0.011474,
7,vector1,NA,NA,30.867777,55562,36.111458,36.857613,0.002221,0.008143,
8,cube0,22.877222,41179,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,37.351665,67233,46.415485,51.638557,0.002221,0.011474,
8,vector1,NA,NA,35.614445,64106,30.971292,35.471901,0.002221,0.008143,
9,cube0,23.227222,41809,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,30.846666,55524,36.111458,36.857613,0.002221,0.011474,
9,vector1,NA,NA,30.831667,55497,24.101942,25.617937,0.002221,0.008143,
10,cube0,23.631111,42536,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,30.843334,55518,36.111458,36.857613,0.002221,0.011474,
10,vector1,NA,NA,30.805000,55449,24.101942,25.617937,0.002221,0.008143,
11,cube0,23.123888,41623,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,37.338333,67209,46.415485,51.638557,0.002221,0.011474,
11,vector1,NA,NA,35.450554,63811,30.971292,35.471901,0.002221,0.008143,
12,cube0,22.720556,40897,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,30.752777,55355,36.111458,36.857613,0.002221,0.011474,
12,vector1,NA,NA,30.804445,55448,24.101942,25.617937,0.002221,0.008143,
13,cube0,22.959444,41327,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,30.763889,55375,36.111458,36.857613,0.002221,0.011474,
13,vector1,NA,NA,30.807222,55453,24.101942,25.617937,0.002221,0.008143,
14,cube0,23.617222,42511,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,37.108334,66795,46.415485,51.638557,0.002221,0.011474,
14,vector1,NA,NA,35.272221,63490,30.971292,35.471901,0.002221,0.008143,
15,cube0,23.415001,42147,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,30.749445,55349,36.111458,36.857613,0.002221,0.011474,
15,vector1,NA,NA,30.797777,55436,24.101942,25.617937,0.002221,0.008143,
16,cube0,23.781111,42806,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,30.751667,55353,36.111458,36.857613,0.002221,0.011474,
16,vector1,NA,NA,30.739445,55331,24.101942,25.617937,0.002221,0.008143,
17,cube0,23.129444,41633,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,37.081112,66746,46.415485,51.638557,0.002221,0.011474,
17,vector1,NA,NA,35.298889,63538,30.971292,35.471901,0.002221,0.008143,
18,cube0,22.758333,40965,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,30.693333,55248,36.111458,36.857613,0.002221,0.011474,
18,vector1,NA,NA,30.756111,55361,24.101942,25.617937,0.002221,0.008143,
19,cube0,23.305555,41950,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,30.712778,55283,36.111458,36.857613,0.002221,0.011474,
19,vector1,NA,NA,30.719444,55295,24.101942,25.617937,0.002221,0.008143,
