block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,28.393333,51108,0.088917,0.088917,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.764446,66176,0.575361,0.073569,0.000000,0.001736,0.000000,0.062750,335808,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.090557,63163,0.401889,0.050889,0.000000,0.001306,0.000000,0.047181,229888,
1,cube0,28.542223,51376,0.088917,0.088917,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.883333,55590,0.484819,0.079903,0.000000,0.001889,0.000000,0.046819,304896,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.866667,55560,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
2,cube0,29.553888,53197,0.088319,0.088319,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.676109,66017,0.575361,0.073569,0.000000,0.001736,0.000000,0.062750,335808,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.065556,63118,0.401889,0.050889,0.000000,0.001306,0.000000,0.047181,229888,
3,cube0,27.908333,50235,0.088917,0.088917,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.843334,55518,0.484819,0.079903,0.000000,0.001889,0.000000,0.046819,304896,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.824444,55484,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
4,cube0,27.845556,50122,0.088917,0.088917,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.658333,65985,0.575361,0.073569,0.000000,0.001736,0.000000,0.062750,335808,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.060555,63109,0.401889,0.050889,0.000000,0.001306,0.000000,0.047181,229888,
5,cube0,29.280001,52704,0.088917,0.088917,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.809444,55457,0.484819,0.079903,0.000000,0.001889,0.000000,0.046819,304896,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.747223,55345,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
6,cube0,28.712223,51682,0.088639,0.088639,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.663334,65994,0.575361,0.073569,0.000000,0.001736,0.000000,0.062750,335808,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.829445,62693,0.401889,0.050889,0.000000,0.001306,0.000000,0.047181,229888,
7,cube0,29.100555,52381,0.088319,0.088319,0.000000,98304,12,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.680000,55224,0.484819,0.079903,0.000000,0.001889,0.000000,0.046819,304896,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.709999,55278,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
8,cube0,22.690001,40842,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.015556,66628,0.442778,0.048694,0.000000,0.001250,0.000000,0.051639,240192,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.211113,63380,0.313500,0.034056,0.000000,0.000972,0.000000,0.039889,166144,
9,cube0,22.941111,41294,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.634445,55142,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.677221,55219,0.246000,0.039306,0.000000,0.001111,0.000000,0.030306,145536,
10,cube0,23.200001,41760,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.627222,55129,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.677778,55220,0.246000,0.039306,0.000000,0.001111,0.000000,0.030306,145536,
11,cube0,23.615000,42507,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.228889,67012,0.442778,0.048694,0.000000,0.001250,0.000000,0.051639,240192,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.252224,63454,0.313500,0.034056,0.000000,0.000972,0.000000,0.039889,166144,
12,cube0,23.282223,41908,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.594444,55070,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.616112,55109,0.246000,0.039306,0.000000,0.001111,0.000000,0.030306,145536,
13,cube0,23.239445,41831,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.572779,55031,0.341528,0.055583,0.000000,0.001417,0.000000,0.036681,209280,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.636667,55146,0.246000,0.039306,0.000000,0.001111,0.000000,0.030306,145536,
14,cube0,22.285000,40113,0.059278,0.059278,0.000000,65536,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.976112,66557,0.442778,0.048694,0.000000,0.001250,0.000000,0.051639,240192,
