block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,28.393333,51108,18.084129,9.042065,72.336517,9.042065,0.000000,18.084129,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36.764446,66176,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.090557,63163,
1,cube0,28.542223,51376,18.084129,9.042065,72.336517,9.042065,0.000000,18.084129,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.883333,55590,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.866667,55560,
2,cube0,29.553888,53197,18.084129,9.042065,72.336517,9.042065,0.000000,18.084129,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36.676109,66017,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.065556,63118,
3,cube0,27.908333,50235,18.084129,9.042065,72.336517,9.042065,0.000000,18.084129,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.843334,55518,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.824444,55484,
4,cube0,27.845556,50122,18.084129,9.042065,72.336517,9.042065,0.000000,18.084129,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36.658333,65985,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.060555,63109,
5,cube0,29.280001,52704,18.084129,9.042065,72.336517,9.042065,0.000000,18.084129,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.809444,55457,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.747223,55345,
6,cube0,28.712223,51682,18.084129,9.042065,72.336517,9.042065,0.000000,18.084129,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36.663334,65994,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,34.829445,62693,
7,cube0,29.100555,52381,18.084129,9.042065,72.336517,9.042065,0.000000,18.084129,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.680000,55224,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.709999,55278,
8,cube0,22.690001,40842,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.015556,66628,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.211113,63380,
9,cube0,22.941111,41294,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.634445,55142,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.677221,55219,
10,cube0,23.200001,41760,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.627222,55129,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.677778,55220,
11,cube0,23.615000,42507,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37.228889,67012,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.252224,63454,
12,cube0,23.282223,41908,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.594444,55070,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.616112,55109,
13,cube0,23.239445,41831,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.572779,55031,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.636667,55146,
14,cube0,22.285000,40113,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36.976112,66557,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.222221,63400,
15,cube0,22.327778,40190,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.572779,55031,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.578888,55042,
16,cube0,23.497778,42296,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.572779,55031,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.585556,55054,
17,cube0,23.069445,41525,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36.986668,66576,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,35.169445,63305,
18,cube0,23.462223,42232,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.571112,55028,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.584999,55053,
19,cube0,22.560556,40609,12.056087,6.028043,48.224346,6.028043,0.000000,12.056087,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30.574444,55034,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,30.529444,54953,
