block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,74.022781,133241,5.358889,0.101111,4.579444,0.086405,18.967222,0.357872,4.244444,0.080084,7.864068,25.293333,0.477233,28.957111,0.000000,27.877222,0.525985,0.261111,0.942778,3.642778,0.000000,0.000000,0.000000,2.265556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.271667,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.576111,154037,29.767778,0.561656,13.700000,0.258491,36.928776,1.996111,0.037662,35.056091,0.052871,15.992778,0.301751,1.265556,2.813889,0.000000,0.000000,0.000000,12.481667,13.855556,1.606111,NA,6.041111,0.814444,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.111664,151401,20.561111,0.387946,13.660000,0.257736,24.697094,2.126667,0.040126,22.085482,0.067901,17.324444,0.326876,0.922222,2.061111,0.000000,0.000000,0.000000,6.943889,18.121111,1.475000,NA,6.766111,6.397222,
1,cube0,73.205559,131770,5.347778,0.100901,4.537778,0.085618,16.203333,0.305723,3.898333,0.073553,8.562275,22.963333,0.433270,31.895277,0.000000,31.408333,0.592610,0.261667,0.950000,1.301667,0.000000,0.000000,0.000000,1.539444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.613333,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.720558,143497,26.150555,0.493407,15.978889,0.301488,25.932434,3.444444,0.064990,13.670614,0.053920,15.053333,0.284025,1.183333,2.678889,0.000000,0.000000,0.000000,12.694445,13.422222,2.041667,NA,5.425000,0.543889,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.741669,143535,18.157778,0.342600,13.246667,0.249937,20.860125,0.930556,0.017558,34.076065,0.068615,14.803889,0.279319,0.861667,1.958333,0.000000,0.000000,0.000000,6.670000,14.800000,1.958333,NA,5.824444,6.363889,
2,cube0,75.488892,135880,5.358889,0.101111,4.511667,0.085126,18.831112,0.355304,4.256667,0.080314,7.841487,23.085556,0.435577,31.726412,0.000000,29.677221,0.559948,0.272778,0.976111,1.210000,0.000000,0.000000,0.000000,2.575556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.466110,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.624443,154124,29.765556,0.561614,12.560000,0.236981,40.280586,1.854445,0.034990,37.734131,0.052465,18.939444,0.357348,1.274444,2.845000,0.000000,0.000000,0.000000,12.636666,17.895555,1.936667,NA,8.250556,1.136667,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.062225,151312,20.572779,0.388166,8.442778,0.159298,39.958687,1.431667,0.027013,32.806843,0.066909,16.273890,0.307055,0.931111,2.092222,0.000000,0.000000,0.000000,6.866111,19.213888,0.952222,NA,5.353889,6.643889,
3,cube0,74.922226,134860,5.358889,0.101111,4.578889,0.086394,16.998333,0.320723,4.110000,0.077547,8.121313,23.887222,0.450702,30.661661,0.000000,33.985554,0.641237,0.273333,0.983333,2.517778,0.000000,0.000000,0.000000,3.259444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.639444,NA,NA,
