block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aic_scalar_wait_id2_time(us),aic_scalar_wait_id6_time(us),aic_scalar_wait_id7_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,36.437222,65587,NA,NA,NA,NA,NA,NA,3.249444,0.089179,10.272094,NA,NA,NA,0.045820,NA,NA,NA,NA,NA,NA,NA,NA,1.646111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.871666,2.345556,0.021111,0.023333,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.352779,87035,NA,NA,NA,NA,NA,1.475556,0.030516,47.423397,0.055285,NA,NA,NA,NA,NA,NA,NA,NA,9.089444,2.476111,NA,NA,NA,NA,7.866667,4.137222,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.781113,84206,NA,NA,NA,NA,NA,1.388333,0.029677,33.830826,0.067633,NA,NA,NA,NA,NA,NA,NA,NA,5.741667,2.079444,NA,NA,NA,NA,10.432777,9.701667,
1,cube0,36.493332,65688,NA,NA,NA,NA,NA,NA,4.061666,0.111299,8.217957,NA,NA,NA,0.056709,NA,NA,NA,NA,NA,NA,NA,NA,2.236667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.271111,2.546667,0.024444,0.027222,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.535000,76563,NA,NA,NA,NA,NA,2.715556,0.063843,17.339975,0.056258,NA,NA,NA,NA,NA,NA,NA,NA,9.610556,2.743889,NA,NA,NA,NA,5.370000,3.011111,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.529999,76554,NA,NA,NA,NA,NA,0.661667,0.015558,47.923935,0.076018,NA,NA,NA,NA,NA,NA,NA,NA,11.532222,2.137222,NA,NA,NA,NA,4.790555,9.016666,
2,cube0,38.198891,68758,NA,NA,NA,NA,NA,NA,4.041667,0.105806,8.258623,NA,NA,NA,0.046656,NA,NA,NA,NA,NA,NA,NA,NA,2.346667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.638334,2.699445,0.024444,0.027778,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.376667,87078,NA,NA,NA,NA,NA,2.082222,0.043042,33.606331,0.056066,NA,NA,NA,NA,NA,NA,NA,NA,17.706667,1.741667,NA,NA,NA,NA,4.639444,1.836667,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.814445,84266,NA,NA,NA,NA,NA,1.023333,0.021859,45.897518,0.061137,NA,NA,NA,NA,NA,NA,NA,NA,9.215000,0.886111,NA,NA,NA,NA,6.169445,7.492778,
3,cube0,39.945557,71902,NA,NA,NA,NA,NA,NA,4.032222,0.100943,8.277966,NA,NA,NA,0.062500,NA,NA,NA,NA,NA,NA,NA,NA,4.361667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.694445,2.805000,0.025556,0.028889,NA,NA,
