block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,36.437222,65587,NA,NA,NA,0.001083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,48.352779,87035,0.064836,0.033917,0.009203,0.021715,0.000000,NA,NA,0.120986,
0,vector1,NA,NA,NA,NA,NA,NA,46.781113,84206,0.044676,0.023371,0.006342,0.014963,0.000000,NA,NA,0.098461,
1,cube0,36.493332,65688,NA,NA,NA,0.001081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,42.535000,76563,0.073704,0.038556,0.010462,0.024686,0.000000,NA,NA,0.129410,
1,vector1,NA,NA,NA,NA,NA,NA,42.529999,76554,0.049142,0.025707,0.006975,0.016459,0.000000,NA,NA,0.102085,
2,cube0,38.198891,68758,NA,NA,NA,0.001033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,48.376667,87078,0.064804,0.033901,0.009199,0.021705,0.000000,NA,NA,0.120892,
2,vector1,NA,NA,NA,NA,NA,NA,46.814445,84266,0.044644,0.023355,0.006337,0.014953,0.000000,NA,NA,0.098320,
3,cube0,39.945557,71902,NA,NA,NA,0.000987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,42.459446,76427,0.073835,0.038625,0.010481,0.024729,0.000000,NA,NA,0.130621,
3,vector1,NA,NA,NA,NA,NA,NA,42.430557,76375,0.049257,0.025768,0.006992,0.016498,0.000000,NA,NA,0.108504,
4,cube0,41.191113,74144,NA,NA,NA,0.000958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,48.121666,86619,0.065147,0.034080,0.009247,0.021820,0.000000,NA,NA,0.121509,
4,vector1,NA,NA,NA,NA,NA,NA,46.474998,83655,0.044970,0.023525,0.006383,0.015062,0.000000,NA,NA,0.099050,
5,cube0,40.714443,73286,NA,NA,NA,0.000969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,42.422779,76361,0.073899,0.038658,0.010490,0.024751,0.000000,NA,NA,0.137793,
5,vector1,NA,NA,NA,NA,NA,NA,42.382221,76288,0.049313,0.025797,0.007000,0.016516,0.000000,NA,NA,0.108615,
6,cube0,40.073891,72133,NA,NA,NA,0.000984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,48.063889,86515,0.065226,0.034121,0.009259,0.021846,0.000000,NA,NA,0.121644,
6,vector1,NA,NA,NA,NA,NA,NA,46.437222,83587,0.045007,0.023544,0.006389,0.015074,0.000000,NA,NA,0.099118,
7,cube0,40.909443,73637,NA,NA,NA,0.000964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,42.380554,76285,0.073973,0.038697,0.010500,0.024776,0.000000,NA,NA,0.137956,
7,vector1,NA,NA,NA,NA,NA,NA,42.331112,76196,0.049373,0.025828,0.007008,0.016536,0.000000,NA,NA,0.108759,
8,cube0,34.158333,61485,NA,NA,NA,0.001155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,48.777779,87800,0.042847,0.022415,0.006082,0.014351,0.000000,NA,NA,0.119886,
8,vector1,NA,NA,NA,NA,NA,NA,47.000000,84600,0.029645,0.015508,0.004208,0.009929,0.000000,NA,NA,0.097908,
9,cube0,34.568333,62223,NA,NA,NA,0.001141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,42.287777,76118,0.049423,0.025855,0.007015,0.016553,0.000000,NA,NA,0.138220,
9,vector1,NA,NA,NA,NA,NA,NA,42.257221,76063,0.032973,0.017249,0.004680,0.011043,0.000000,NA,NA,0.108923,
10,cube0,34.145000,61461,NA,NA,NA,0.001155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,42.287777,76118,0.049423,0.025855,0.007015,0.016553,0.000000,NA,NA,0.138167,
10,vector1,NA,NA,NA,NA,NA,NA,42.244446,76040,0.032983,0.017254,0.004682,0.011047,0.000000,NA,NA,0.108890,
11,cube0,34.188889,61540,NA,NA,NA,0.001154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,48.997776,88196,0.042655,0.022314,0.006055,0.014286,0.000000,NA,NA,0.119348,
11,vector1,NA,NA,NA,NA,NA,NA,47.103333,84786,0.029580,0.015474,0.004199,0.009907,0.000000,NA,NA,0.097705,
12,cube0,33.764999,60777,NA,NA,NA,0.001168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,42.267776,76082,0.049447,0.025867,0.007019,0.016561,0.000000,NA,NA,0.138311,
12,vector1,NA,NA,NA,NA,NA,NA,42.237221,76027,0.032988,0.017257,0.004683,0.011049,0.000000,NA,NA,0.108948,
13,cube0,32.133335,57840,NA,NA,NA,0.001228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,42.244999,76041,0.049473,0.025881,0.007023,0.016570,0.000000,NA,NA,0.138320,
13,vector1,NA,NA,NA,NA,NA,NA,42.241665,76035,0.032985,0.017255,0.004682,0.011048,0.000000,NA,NA,0.108858,
14,cube0,33.244446,59840,NA,NA,NA,0.001186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,48.983334,88170,0.042668,0.022321,0.006056,0.014291,0.000000,NA,NA,0.119394,
14,vector1,NA,NA,NA,NA,NA,NA,47.092777,84767,0.029587,0.015478,0.004200,0.009910,0.000000,NA,NA,0.097774,
15,cube0,32.486668,58476,NA,NA,NA,0.001214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,42.259998,76068,0.049456,0.025872,0.007020,0.016564,0.000000,NA,NA,0.138337,
