block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,9547.648438,17185767,NA,NA,1.988204,NA,55,0.000565,18875,1.839329,19,0.000968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10661.500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.660557,89389,NA,NA,0.102380,NA,50,0.001980,11,0.000299,549.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.070000,86526,NA,NA,0.069512,NA,34,0.001867,8,0.000394,372.750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,cube0,9472.079102,17049742,NA,NA,1.988204,NA,55,0.000554,18847,1.825419,19,0.000999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10661.500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.792221,78826,NA,NA,0.084221,NA,38,0.001900,8,0.000660,451.625000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.732777,78719,NA,NA,0.057134,NA,26,0.001096,6,0.000170,306.375000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,cube0,9334.833008,16802699,NA,NA,1.988320,NA,55,0.000580,18849,1.798591,19,0.000955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10662.125000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.598331,89277,NA,NA,0.102473,NA,50,0.001422,11,0.000280,549.500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.913887,86245,NA,NA,0.069489,NA,34,0.001169,8,0.000303,372.625000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,cube0,9333.535156,16800364,NA,NA,1.988227,NA,55,0.000575,18800,1.797663,19,0.001028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10661.625000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
