block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),
0,cube0,9547.648438,17185767,3.567778,0.000698,2.887222,0.000565,9404.491211,1.839329,4.948889,0.000968,NA,12.567778,0.002458,NA,0.078137,126.470001,0.024735,0.274444,0.937778,4.408889,0.000000,0.000000,0.000000,2.775556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.278889,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.660557,89389,23.020555,0.004502,10.123889,0.001980,NA,1.529444,0.000299,NA,0.056013,8.816667,0.001724,1.281111,2.808889,0.000000,0.000000,0.000000,15.506667,9.988334,2.663333,NA,6.463333,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.070000,86526,16.081667,0.003145,9.545555,0.001867,NA,2.015000,0.000394,NA,0.070603,10.515000,0.002057,0.936667,2.056667,0.000000,0.000000,0.000000,9.701667,6.871111,2.143333,NA,8.245000,
1,cube0,9472.079102,17049742,3.564445,0.000697,2.833889,0.000554,9333.369141,1.825419,5.106111,0.000999,NA,14.286111,0.002794,NA,0.094281,125.429443,0.024531,0.270000,0.947222,2.038889,0.000000,0.000000,0.000000,2.311111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.189444,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.792221,78826,19.398890,0.003794,9.712778,0.001900,NA,3.374444,0.000660,NA,0.060319,7.366667,0.001441,1.198889,2.673889,0.000000,0.000000,0.000000,15.612778,13.068334,2.838889,NA,8.156111,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.732777,78719,13.678333,0.002675,5.602778,0.001096,NA,0.868333,0.000170,NA,0.075692,8.553333,0.001673,0.879444,1.951667,0.000000,0.000000,0.000000,10.444445,12.342778,2.218333,NA,7.479445,
2,cube0,9334.833008,16802699,3.533889,0.000691,2.965000,0.000580,9196.197266,1.798591,4.885000,0.000955,NA,13.641111,0.002668,NA,0.085106,124.849442,0.024418,0.276111,0.975556,3.715000,0.000000,0.000000,0.000000,2.887778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.857779,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.598331,89277,23.022778,0.004503,7.268889,0.001422,NA,1.430000,0.000280,NA,0.055788,10.896667,0.002131,1.288333,2.842222,0.000000,0.000000,0.000000,12.763333,18.615555,1.777778,NA,5.165000,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.913887,86245,16.092777,0.003147,5.978333,0.001169,NA,1.547222,0.000303,NA,0.067551,10.185555,0.001992,0.951111,2.086111,0.000000,0.000000,0.000000,7.055000,7.634444,2.050000,NA,5.027222,
3,cube0,9333.535156,16800364,3.541667,0.000693,2.942222,0.000575,9191.452148,1.797663,5.256667,0.001028,NA,12.478333,0.002441,NA,0.096439,125.096107,0.024466,0.284444,0.978889,2.349444,0.000000,0.000000,0.000000,4.304444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.422777,NA,
