block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,4563.901855,8215023,514,1088,156,40601,145,40597,32.084892,0.369330,0.980734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.032776,90059,4,146,2191,5,2194,5,2.666667,99.772469,96.567657,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.387222,87097,3,98,1495,0,1486,1,2.970297,99.966469,96.788841,
1,cube0,4529.585938,8153255,513,1089,24,40728,26,40729,32.022472,0.061344,0.677424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.314999,79767,4,98,1802,1,1807,2,3.921569,99.916946,97.280563,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.274445,79694,3,66,1228,0,1223,1,4.347826,99.959213,97.342323,
2,cube0,4461.799316,8031239,514,1088,126,40555,137,40534,32.084892,0.323286,0.936664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.148888,90268,4,146,2197,1,2198,0,2.666667,99.977249,96.766388,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.299999,86940,3,98,1491,1,1487,0,2.970297,99.966431,96.785713,
3,cube0,4436.089355,7984961,514,1088,50,40581,46,40582,32.084892,0.118141,0.736173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.278889,79702,4,98,1802,4,1812,0,3.921569,99.889442,97.258064,
