block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id14_time(us),
0,cube0,4563.901855,8215023,3.567778,0.067317,2.886667,0.054465,4476.501465,84.462296,5.087222,0.095985,6.561263,14.121667,0.266447,51.865116,0.049020,70.298332,1.326384,20.419445,21.096666,2.898333,4415.984863,0.000000,0.000000,2.795000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.032776,90059,23.022778,0.434392,7.271667,0.137201,69.574730,1.376667,0.025975,50.829918,0.056398,10.174444,0.191971,1.276111,2.810000,0.000000,0.000000,0.000000,12.871111,11.052778,2.538333,5.623333,
0,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.387222,87097,16.083889,0.303470,6.063889,0.114413,55.634644,1.768333,0.033365,26.560863,0.071124,10.820000,0.204151,0.931667,2.058889,0.000000,0.000000,0.000000,7.481667,8.010555,2.080000,10.247222,
1,cube0,4529.585938,8153255,3.540555,0.066803,2.863333,0.054025,4445.508301,83.877518,4.751667,0.089654,7.024609,15.462778,0.291751,47.366772,0.058872,70.067780,1.322034,20.358889,21.032223,4.393889,4376.803223,0.000000,0.000000,2.289444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.314999,79767,19.401112,0.366059,8.083333,0.152516,51.262455,3.125556,0.058973,15.065375,0.056861,7.961667,0.150220,1.193333,2.675555,0.000000,0.000000,0.000000,15.390000,10.699445,2.623333,5.035000,
1,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.274445,79694,13.662778,0.257788,9.295555,0.175388,29.726803,0.757778,0.014298,41.845608,0.074477,8.041667,0.151730,0.876111,1.952778,0.000000,0.000000,0.000000,10.772223,12.419444,1.670556,10.580556,
2,cube0,4461.799316,8031239,3.564445,0.067254,2.890000,0.054528,4376.618652,82.577713,4.658889,0.087904,7.164498,14.295555,0.269727,51.234238,0.042654,68.325554,1.289161,20.308889,21.008333,4.554444,4309.777344,0.000000,0.000000,4.353333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.148888,90268,23.022778,0.434392,6.742778,0.127222,75.032021,1.522222,0.028721,45.969540,0.057280,10.704445,0.201971,1.288889,2.840000,0.000000,0.000000,0.000000,12.569445,16.530556,1.652778,1.813889,
2,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.299999,86940,16.092777,0.303637,4.179444,0.078857,80.719421,0.987778,0.018637,47.549625,0.069246,9.015000,0.170094,0.944444,2.088889,0.000000,0.000000,0.000000,6.867778,16.424444,0.945556,7.580000,
3,cube0,4436.089355,7984961,3.566667,0.067296,2.860556,0.053973,4350.066895,82.076729,4.678333,0.088270,7.134721,13.367778,0.252222,54.790100,0.061538,68.785004,1.297830,20.283890,20.975000,2.699445,4292.369629,0.000000,0.000000,4.873889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
